"coreMessage","Voici le message principal"
"Authorization in progress ...","Autorisation en cours ..."
"You are logged in!","Vous êtes authentifié!"
"This feature is not implemented yet :( Newsletter is on our roadmap - issue #200!","Cette fonctionnalité n'est pas encore implémentée :( La newsletter est sur notre Roadmap - issue #200!"
"Please fix the validation errors","Veuillez corriger les erreurs de validations"
"You have been successfully subscribed to our newsletter!","Vous avez été inscrit avec succès à notre newsletter!"
"Everything new","Toutes les nouvautés"
"Get inspired","soyez inspiré"
"Size guide","Guide des tailles"
"Add to favorite","Ajouter aux favoris"
"Add to compare","Ajouter au comparateur"
"Product details","Détails produit"
"Filters","Filters"
"Product price is unknown, product cannot be added to the cart!","Le prix du produit est inconnu, le produit ne peut pas être ajouté au panier!"
"You're logged in as ","Vous êtes connecté en tant que "
"My account","Mon compte"
"My Account","Mon compte"
"Logout","Deconnexion"
"Enter your email to receive instructions on how to reset your password.","Enter your email to receive instructions on how to reset your password."
"Reset password","Réinitialiser le mot de passe"
"or","ou"
"return to log in","Retour au login"
"Back to login","Retour au login"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Nous avons envoyé les instructions de réinitialisation du mot de passe à votre adresse e-mail. Vérifiez votre boîte de réception et suivez le lien."
"Log in","Connexion"
"Remember me","Se souvenir de moi"
"Forgot the password?","Mot de passe oublié?"
"Log in to your account","Connectez-vous à votre compte"
"You must accept the terms and conditions.","Vous devez accepter les Termes et Conditions."
"Register","S'enregistrer"
"register an account","enregistrer un compte"
"Register an account","enregistrer un compte"
"login to your account","Connectez-vous à votre compte"
"Filter","Filtres"
"Color","Couleur"
"Size","Taile"
"Price","Prix"
"Order Summary","Récapitulatif de la commande"
"Safety","sécurité"
"Shipping","Livraison"
"Payment","Paiement"
"Returns","Retours"
"Review order","Vérifier la commande"
"Please check if all data are correct","Veuillez vérifier si toutes les données sont correctes"
"I agree to","J'accepte"
"Terms and conditions","Térmes et conditions"
"Place the order","Passer la commande"
"Edit payment","Editer le paiement"
"We will send you the invoice to given e-mail address","Nous vous enverrons la facture à l'adresse e-mail indiquée"
"Payment method","Méthode de paiement"
"Go review the order","Allez revoir la commande"
"Phone number may be needed by carrier","Le numéro de téléphone peut être requis par le transporteur"
"Personal Details","Détails personnels"
"Edit personal details","Modifier les détails personnels"
"Continue to shipping","Continuer à faire des achats"
"We will send you details regarding the order","Nous vous enverrons les détails concernant la commande"
"The new account will be created with the purchase. You will receive details on e-mail.","Le nouveau compte sera créé à l'achat. Vous recevrez des informations sur l'e-mail."
"Qty","Qté"
"Edit shipping","Modifier les options de livraison"
"Ship to my default address","Expédier à mon adresse par défaut"
"Shipping method","Méthode de livraison"
"Continue to payment","Continue to payment"
"Departments","département"
"Women fashion","Mode femmes"
"Men's fashion","Mode hommes"
"Kidswear","Enfants"
"Home","accuil"
"Orders","Commandes"
"Track my order","Tracker ma commande"
"Delivery","Livraion"
"Return policy","Politique de retour"
"Customer service","Service client"
"Contact us","Contactez nous"
"About us","A propos"
"Store locator","Localisateur de magasin"
"United States (US)","etats unis (US)"
"Legal notice","Mention légale"
"Privacy policy","Politique de confidentialité"
"Subscribe to the newsletter and receive a coupon for 10% off","Abonnez-vous à la newsletter et recevez un coupon de réduction de 10%"
"Subscribe","Abonnez-vous"
"Return to shopping","Retourner aux achats"
"Login to your account","Connectez-vous à votre compte"
"You are logged in as","Vous êtes connecté en tant que"
"Edit","Editer"
"Shopping cart","Panier"
"Your shopping cart is empty.","Votre panier est vide."
"Don't hesitate and","N'haisitez pa et "
"browse our catalog","Parcourir notre catologue"
"to find something beautiful for You!","pour trouver de belles choses pour Toi!"
"Shopping summary","Shopping summary"
"Subtotal inc. tax","Sous total taxe inclue"
"Total inc. tax","Total taxe incluse"
"Go to checkout","Passer à la caisse"
"Remove","Supprimer"
"My newsletter","Ma newsletter"
"Edit newsletter preferences","Modifier les préférences de la newsletter"
"General agreement","General agreement"
"Preferences","préférences"
"Cancel","Annuler"
"Update my preferences","Mettre à jour mes préférences"
"My profile","mon profile"
"Edit your profile","Editer mon proile"
"Update my profile","Mettre à jour mon profile"
"My shipping details","Mes détails d'expedition"
"Edit your shipping details","Editer mes détails d'expédition"
"Update my shipping details","Mettre à jour mes détails d'expédition"
"Country","Pays"
"Erin Recommends","Erin Recommande"
"Similar products","Produits similaires"
"No results were found.","Aucun resultat n'a été trouvé."
"Type what you are looking for...","Tapez ce que vous cherchez..."
"Magazine","Magazine"
"Sale","Vente"
"My orders","Mes commandes"
"My loyalty card","Ma carte de fidélité"
"My product reviews","My product reviews"
"Wishlist","Liste de souhaits"
"Your wishlist is empty.","Votre liste de souhaits est vide."
"Add to cart","Ajouter au panier"
"Select color ","sélectionner une couleur "
"See details","Voir détails"
"We use cookies to give you the best shopping experience.","Nous utilisons des cookies pour vous offrir la meilleure expérience de shopping."
"Home Page","Page d'accuil"
"Newsletter","Newsletter"
"Sign up to our newsletter and receive a coupon for 10% off!","Abonner vous à notre newsletter et recevez un coupon de réduction de 10%!"
"Quantity","Quantité"
"Price ","Prix"
"Select size ","Selectionner la taille "
"Checkout","Valider"
"Print This Page","Imprimer cette page"
"You have no items to compare.","Vous n'avez pas de produits à comparer."
"New Luma Yoga Collection","Nouvelle collection Luma Yoga"
"We can't find the page","Nous ne parvenons pas  à trouver la page"
"Unfortunately we can't find the page you are looking for.","Malheureusement, nous ne pouvons pas trouver la page que vous recherchez."
"If you need an assistance you can drop us a line on","Si vous avez besoin d'aide, vous pouvez nous laisser un message"
"a chat","Un chat"
"or write to us through","ou écrivez-nous à travers"
"a contact page","Une page de contact"
"You can also use","Vous pouvez aussi utiliser"
"search","Recherche"
"to find product you were looking for.","pour trouver le produit que vous cherchiez."
"See our bestsellers","Voir nos meilleurs ventes"
"Thank you!","Merci!"
"Thank you for placing an order.","Merci d'avoir passer commande."
"Your order has been sent to the server and will be immediately processed","Votre commande a été envoyée au serveur et va être immédiatement traitée"
"Your order will be sent to the server as soon as you connect to the Internet and then confirmed regarding the stock quantities of selected items","Votre commande sera envoyée au serveur dès que vous vous connecterez à Internet, puis confirmée concernant les quantités en stock des articles sélectionnés"
"You are offline, some of the functionalities are limited","Vous êtes hors ligne, certaines fonctionnalités sont limitées"
"Search","Recherche"
"Help","Aide"
"Go to Facebook","Aller sur Facebook"
"Go to Instagram","Aller sur Instagram"
"Go to Pinterest","Aller sur Pinterest"
"Go to Youtube","Aller sur Youtube"
"Subtotal incl. tax","Sous-total taxe incluse"
"Cash on delivery","Paiement en liquide à la livraison"
"DPD Courier","DPD Courier"
"Grand total","Grand total"
"I accept ","J'accepte "
"terms and conditions","térmes et conditions"
"Use my billing data","Utiliser mes données de paiement"
"I want to generate an invoice for the company","Je veux genérer une facture pour l'entreprise"
"Field is required","Champ requis"
"Field is required.","Champ requis."
"Name must have at least 3 letters.","Le nom doit contenir au moins 3 lettres."
"Zip-code must have at least 3 letters.","Le code postal doit contenir au moins 3 lettres."
"I want to create an account'","Je veux créer un compte'"
"Copy address data from shipping","Copier les données d'adresse de l'expédition"
"Tax identification number must have at least 3 letters.","Le numéro d'identification fiscale doit comporter au moins 3 lettres."
"Please provide valid e-mail address.","Veuillez fournir une adresse e-mail valide."
"Use my company's address details","Utilisez les coordonnées de mon entreprise"
"Passwords must be identical","les mots de passe doivent correspondre"
"Tax ID must have at least 3 letters","L'identifiant fiscal doit comporter au moins 3 lettres"
"Subscribe to magazine","S'abonné au magazine"
"E-mail address","Adresse Email"
"Save product","Sauvegarder le produit"
"Find the right sporting clothes for all situations","Trouvez les bons vêtements de sport pour toutes les situations"
"E-mail address *","Adresse email *"
"Password *","Mot de passe *"
"You did not sign in correctly or your account is temporarily disabled.","Vous vous n'êtes pas connecté correctement, ou votre compte est temporairement désactivé."
"First name","Prénom"
"Last name","Nom"
"Email address","Adresse Email"
"Change my password","Changer mon mot de passe"
"I have a company and want to receive an invoice for every order","J'ai une entreprise et je veux reçevoir une facture pour chaque commande"
"Company name *","Nom de l'entreprise  *"
"Street name *","Rue *"
"House/Apartment number *","Numéro d'appartement / maison *"
"City *","Ville *"
"Zip-code *","Code postal *"
"Tax ID *","Code postal *"
"State / Province","Département / Province"
"City","Ville"
"Phone Number","Numéro de téléphone"
"House/Apartment number","Numéro d'appartement/ maison"
"Street name","Rue"
"Zip-code","Code postal"
"Current password *","Mot de passe actuel *"
"New password *","Nouveau mot de passe *"
"Repeat new password *","répétez le nouveau mot de passe *"
"Passwords must be identical.","les mots de passe doivent correspondre."
"First name *","Prénom *"
"Last name *","Nom *"
"Repeat password *","répétez le mot de passe *"
"Email address *","Adresse Email *"
"I want to create an account","Je veux créer un compte"
"Tax identification number *","Numero d'identification fiscale *"
"You're logged out","Vous êtes déconnecté"
"No products found!","Aucun produit trouvé!"
"Erin recommends","Erin recommends"
"Compare Products","Comparer les produits"
"404 Page Not Found","404 Page non trouvée"
"Error with response - bad content-type!","Erreur avec réponse - mauvais type de contenu!"
"Unhandled error, wrong response format!","Erreur non prise en charge, format de réponse incorrect!"
"Cash On Delivery","Paiement en liquide à la livraison"
"Fixed","Fixé"
"The real payment methods will be implemented soon. Please kindly take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap.","Les réelles méthodes de paiement seront implémentées bientôt. Veuillez jeter consulter https://github.com/DivanteLtd/vue-storefront/issues pour la Roadmap."
"View all","Voyez tout"
