"coreMessage","Messaggio principale"
"a chat","Una chat"
"or write to us through","o scrivici tramite"
"a contact page","la pagina dei contatti"
"You can also use","Puoi utilizzare anche"
"search","cerca"
"to find product you were looking for.","Per trovare il prodotto che cerchi."
"See our bestsellers","Visualizza i prodotti più venduti"
"Thank you!","Grazie!"
"Thank you for placing an order.","Grazie di aver acquistato"
"Your order has been sent to the server and will be immediately processed","Il tuo ordine è stato inviato e verrà processato al più presto"
"Your order will be sent to the server as soon as you connect to the Internet and then confirmed regarding the stock quantities of selected items","Il tuo ordine verrà inviato appena sarai connesso ad internet, la disponibilità degli articoli ordinati deve essere confermata."
"You are offline, some of the functionalities are limited","Non sei connesso ad internet, alcune funzionalità potranno essere limitate"
"Search","Cerca"
"Help","Aiuto"
"Go to Facebook","Vai su Facebook"
"Go to Instagram","Vai su Instagram"
"Go to Pinterest","Vai su Pinterest"
"Go to Youtube","Vai su Youtube"
"Subtotal incl. tax","Subtotale tasse incluse"
"Cash on delivery","Contrassegno"
"DPD Courier","Corriere DPD"
"Grand total","Totale"
"I accept ","Accetto "
"terms and conditions","termini e condizioni"
"Use my billing data","Utilizza l'indirizzo di fatturazione"
"I want to generate an invoice for the company","Genera la fattura"
"Field is required","Campo obbligatorio"
"Field is required.","Campi obbligatori"
"Name must have at least 3 letters.","Il nome deve avere almeno 3 lettere"
"Zip-code must have at least 3 letters.","Il codice postale deve avere almeno 3 lettere"
"I want to create an account'","Voglio creare un account'"
"Copy address data from shipping","Utilizza l'indirizzo di spedizione"
"Tax identification number must have at least 3 letters.","Il codice fiscale deve avere almeno 3 lettere"
"Please provide valid e-mail address.","Inserisci un indirizzo email valido"
"Use my company's address details","Usa l'indirizzo della società"
"Passwords must be identical","Le password devono essere uguali"
"Tax ID must have at least 3 letters","La partita iva deve avere almeno 3 lettere"
"Subscribe to magazine","Abbonati alla rivista"
"E-mail address","Indirizzo Email"
"Save product","Salva il prodotto"
"Find the right sporting clothes for all situations","Trova il vestito sportivo giusto per ogni situazione"
"E-mail address *","Indirizzo email *"
"You did not sign in correctly or your account is temporarily disabled.","I tuoi dati non sono corretti o il tuo account è temporaneamente disabilitato"
"First name","Nome"
"Last name","Cognome"
"Email address","Email"
"Change my password","Modifica password"
"I have a company and want to receive an invoice for every order","Ho una società e desidero ricevere una fattura per ogni ordine"
"Company name *","Ragione sociale  *"
"Street name *","Via *"
"House/Apartment number *","Numero/interno *"
"City *","Città *"
"Zip-code *","CAP *"
"Tax ID *","Partita iva *"
"State / Province","Provincia"
"City","Città"
"Phone Number","Telefono"
"House/Apartment number","Numero/interno"
"Street name","Via"
"Zip-code","CAP"
"Current password *","Password attuale *"
"New password *","Nuova password *"
"Repeat new password *","Ripeti la nuova password *"
"Passwords must be identical.","Le due password devono essere uguali."
"First name *","Nome *"
"Last name *","Cognome *"
"Repeat password *","Ripeti la password *"
"Email address *","Email *"
"I want to create an account","Desidero creare un account"
"Tax identification number *","Codice fiscale/partita iva *"
"You're logged out","Ti sei disconnesso"
"No products found!","Nessun prodotto trovato!"
"Compare Products","Confronta prodotti"
"404 Page Not Found","404 Pagina non trovata"
"Error with response - bad content-type!","Errore nella risposta - content-type non valido !"
"Unhandled error, wrong response format!","Errore inatteso, Formato della risposta non valido"
"Cash On Delivery","Contrassegno"
"Fixed","Fisso"
"The real payment methods will be implemented soon. Please kindly take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap.","I metodi di pagamento reali verranno implementati al più presto. Consulta https://github.com/DivanteLtd/vue-storefront/issues per la Roadmap."
"View all","Vedi tutto"
"Choose your country","Scegli il tuo paese"
