"Product-Title: Action Figure","Actionfiguuri"
"Product-Title: Pullover","Villapusero"
"Product-Title: Ring Stand","Sormukkeenpidin"
"Product-Title: Ring","Rengas"
"Product-Title: Sandal","Sandaalit"
"Product-Title: Scarf","Huivi"
"Product-Title: Shirt","Paita"
"Product-Title: Shoes","Kengät"
"Product-Title: Shorts","Shortsit"
"Product-Title: Shot Glass","Shottilasi"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Skateboard"
"Product-Title: Skatedeck","Skeittilauta"
"Product-Title: Skirt","Paita"
"Product-Title: Slipmat","Vinylimatto"
"Product-Title: Socks","Sukat"
"Product-Title: Soft Toy","Pehmolelu"
"Product-Title: Sticker","Tarra"
"Product-Title: Stress Controller","Stressilelu"
"Product-Title: Sunglasses","Aurinkolasit"
"Product-Title: Sweat Pants","Colleget"
"Product-Title: Sweater","Villapaita"
"Product-Title: Swimsuit","Uima-asu"
"Product-Title: T-Shirt","T-paita"
"Product-Title: Tank","Hihaton"
"Product-Title: Tapestry","Seinälippu"
"Product-Title: Tea Cup + Saucer","Teekuppi + alunen"
"Product-Title: Tights","Sukkahousut"
"Product-Title: Top","Top"
"Product-Title: Top","Toppi"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","kassi"
"Product-Title: Towel","Pyyhe"
"Product-Title: Toy","Lelu"
"Product-Title: Track Jacket","Verryttelytakki"
"Product-Title: Tracksuit","Veryttelypuku"
"Product-Title: Travel Bag","Matkalaukku"
"Product-Title: Travel Mug","Termosmuki"
"Product-Title: Trinket Box","Korurasia"
"Product-Title: Truck","Rekka"
"Product-Title: Umbrella","Sateenvarjo"
"Product-Title: Underwear","Alusvaatteet"
"Product-Title: V Neck Girly","V-aukkoinen naisten t-paita"
"Product-Title: V Neck Longsleeve","V-aukkoinen pitkähihainen t-paita"
"Product-Title: V Neck Pullover","V-aukkoinen villapusero"
"Product-Title: V Neck Sweater","V-aukkoinen villapaita"
"Product-Title: V Neck T-Shirt","V-aukkoinen t-paita"
"Product-Title: Vest","Liivi"
"Product-Title: Vinyl","Vinyyli"
"Product-Title: Voucher","Lahjakortti"
"Product-Title: Wall Shelf","Seinähylly"
"Product-Title: Wallet","Lompakko"
"Product-Title: Washing Glove","Pesu hanska"
"Product-Title: Watch","Kello"
"Product-Title: Wheels","Pyörät"
"Product-Title: Windbreaker","Tuulitakki"
"Product-Title: Wrapping Paper","Lahjapaperi"
"Product-Title: Wristband","Rannenauha"
"Product-Title: Writing Set","Kirjoitus-setti"
"Product-Title: Zip Holder","Vetoketjun pidin"
"Product-Title: Zipper","Vetoketju huppari"
"Product-Title: iPhone 4 Case","iPhone 4 Kuori"
"Product-Title: iPhone 4/4S Case","iPhone 4/4S kuori"
"Product-Title: iPhone 5 Case","iPhone 5 Kuori"
"Product-Title: iPod Classic Skin","iPod Classic Kuori"
