"Product-Title: Action Figure","Figurine Articulée"
"Product-Title: Fridge Magnet","Aimant à Refrigérateur"
"Product-Title: Gift Pack","Pack cadeau"
"Product-Title: Girl Beanie","Bonnet pour fille"
"Product-Title: Girl Belt","Ceinture femme"
"Product-Title: Girl College Jacket","Teddy pour filles"
"Product-Title: Girl Hooded College Jacket","Teddy à capuche pour filles"
"Product-Title: Girl Hoodie","Sweat a capuche femme"
"Product-Title: Girl Jacket","Veste fille"
"Product-Title: Girl Jacket","Veste fille"
"Product-Title: Girl Jeans Jacket","Veste en jean fille"
"Product-Title: Girl Jeans","Jeans pour fille"
"Product-Title: Girl Leather Jacket","Veste en cuire fille"
"Product-Title: Girl Leggings","Girl Leggings"
"Product-Title: Girl Longsleeve","Tshirt manches longues pour filles"
"Product-Title: Girl Pants","Pantalons pour fille"
"Product-Title: Girl Polo","Girl Polo"
"Product-Title: Girl Pullover","Pullover fille"
"Product-Title: Girl Sandals","Sandales pour fille"
"Product-Title: Girl Shirt","Chemise fille"
"Product-Title: Girl Shoes","Chaussures pour fille"
"Product-Title: Girl Shorts","Shorts pour fille"
"Product-Title: Girl Sweater","Pull fille"
"Product-Title: Girl Tank","Débardeur pour fille"
"Product-Title: Girl Track Jacket","Veste de jogging fille"
"Product-Title: Girl V Neck Longsleeve","Tshirt manches longues col V femme"
"Product-Title: Girl V Neck Pullover","Pullover Col V pour fille"
"Product-Title: Girl V Neck Sweater","Pull col V pour fille"
"Product-Title: Girl Zipper","Sweat Zippé à Capuche Femme"
"Product-Title: Girly","Girly"
"Product-Title: Glass","Verre"
"Product-Title: Gloves","Gants"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","Pince à cheuveux"
"Product-Title: Headphones","Casques Audio"
"Product-Title: Heels","Talons Aiguilles"
"Product-Title: Hip Bag","Sac banane"
"Product-Title: Hipbag","Sac banane"
"Product-Title: Hooded Cardigan","Cardigan a capuche"
"Product-Title: Hooded College Jacket","Teddy à capuche"
"Product-Title: Hooded Girl Shirt","Chemise a capuche Fille"
"Product-Title: Hooded Shirt","Chemise a capuche"
"Product-Title: Hoodie","Hoodie"
"Product-Title: Hotpants","Boxers"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Veste"
"Product-Title: Jeans Jacket","Veste en Jean"
"Product-Title: Jeans","Jeans"
"Product-Title: Jersey","Jersey"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Jumpsuit","Combinaison"
"Product-Title: Keychain","Porte Clefs"
"Product-Title: Lamp","Lampe"
"Product-Title: Laptop Bag","Sacoche pour ordinateur portable"
"Product-Title: Laptop Case","Housse ordinateur"
"Product-Title: Leather Jacket","Veste en Cuir"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Long Beanie"
"Product-Title: Longsleeve","Tshirt manches longues"
"Product-Title: Magazine","Magazine"
"Product-Title: Magnet","Aimant"
"Product-Title: Mesh Shorts","Mesh Shorts"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Mug"
"Product-Title: Necklace","Collier"
"Product-Title: Notebook","Carnet de notes"
"Product-Title: Panties","Culottes"
"Product-Title: Pants","Pantalons"
"Product-Title: Patch","Patch"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Trousse"
"Product-Title: Piercing","Piercing"
"Product-Title: Pillow","Coussin"
"Product-Title: Plectra","Mediators"
"Product-Title: Plectrum Set","Pack de mediators"
"Product-Title: Plectrum","Mediator"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Jeux gonflables"
"Product-Title: Poster","Poster"
"Product-Title: Pullover","Pull-over"
"Product-Title: Ring Stand","Support à bagues"
"Product-Title: Ring","Bague"
"Product-Title: Sandal","Sandales"
"Product-Title: Scarf","Écharpe"
"Product-Title: Shirt","Chemise"
"Product-Title: Shoes","Chaussures"
"Product-Title: Shorts","Shorts"
"Product-Title: Shot Glass","Verre à shots"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Planche de skate"
"Product-Title: Skatedeck","Planche de skate"
"Product-Title: Skirt","Robe"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Socks","Chaussettes"
"Product-Title: Soft Toy","Peluche"
"Product-Title: Sticker","Sticker"
"Product-Title: Stress Controller","Anti stress"
"Product-Title: Sunglasses","Lunettes De Soleil"
"Product-Title: Sweat Pants","Pantalons de jogging"
"Product-Title: Sweater","Pull"
"Product-Title: Swimsuit","Maillot de bain"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: Tank","Débardeur"
"Product-Title: Tapestry","Tapisserie"
"Product-Title: Tea Cup + Saucer","Tasse à thé + soucoupe"
"Product-Title: Tights","Collants"
"Product-Title: Top","Haut"
"Product-Title: Top","Haut"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","Sac en toile"
"Product-Title: Towel","Serviette"
"Product-Title: Toy","Jouet"
"Product-Title: Track Jacket","Veste de jogging"
"Product-Title: Tracksuit","Jogging"
"Product-Title: Travel Bag","Sac de voyage"
"Product-Title: Travel Mug","Mug de voyage"
"Product-Title: Trinket Box","Boîte à bijoux"
"Product-Title: Truck","Truck"
"Product-Title: Umbrella","Parapluie"
"Product-Title: Underwear","Sous-Vêtements"
"Product-Title: V Neck Girly","Col V pour fille"
"Product-Title: V Neck Longsleeve","Tshirt manches longues col V"
"Product-Title: V Neck Pullover","Pullover col V"
"Product-Title: V Neck Sweater","Pull col V"
"Product-Title: V Neck T-Shirt","Tshirt Col V"
"Product-Title: Vest","Gilet"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Voucher","Bon d'achat"
"Product-Title: Wall Shelf","Étagères"
"Product-Title: Wallet","Portefeuilles"
"Product-Title: Washing Glove","Gant de toilette"
"Product-Title: Watch","Montre"
"Product-Title: Wheels","Roues"
"Product-Title: Windbreaker","Coupe vent"
"Product-Title: Wrapping Paper","Papier cadeau"
"Product-Title: Wristband","Bracelet éponge"
"Product-Title: Writing Set","Ensemble d'écriture"
"Product-Title: Zip Holder","Fermeture eclair"
"Product-Title: Zipper","Sweat Zippé"
"Product-Title: iPhone 4 Case","Coque iPhone 4"
"Product-Title: iPhone 4/4S Case","Coque iPhone 4/4S"
"Product-Title: iPhone 5 Case","Coque iPhone 5"
"Product-Title: iPod Classic Skin","Coque iPod Classic"
