"Product-Title: Action Figure","Figura de ação"
"Product-Title: Ring","Ring"
"Product-Title: Sandal","Sandálias"
"Product-Title: Scarf","Cachecol"
"Product-Title: Shirt","Shirt"
"Product-Title: Shoes","Sapatos"
"Product-Title: Shorts","Calções"
"Product-Title: Shot Glass","Copo de shot"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Skate Deck"
"Product-Title: Skatedeck","Tábua de skate"
"Product-Title: Skirt","Saia"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Socks","Meias"
"Product-Title: Soft Toy","Peluche"
"Product-Title: Sticker","Autocolante"
"Product-Title: Stress Controller","Controlador de stress"
"Product-Title: Sunglasses","Óculos de Sol"
"Product-Title: Sweat Pants","Calças Fato de Treino"
"Product-Title: Sweater","Camisola"
"Product-Title: Swimsuit","Fato de banho"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: Tank","Tank"
"Product-Title: Tapestry","Tapeçaria"
"Product-Title: Tea Cup + Saucer","Chavena de chá + pires"
"Product-Title: Tights","Collants"
"Product-Title: Top","Top"
"Product-Title: Top","Top"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","Tote Bag"
"Product-Title: Towel","Toalha"
"Product-Title: Toy","Brinquedo"
"Product-Title: Track Jacket","Casaco de Treino"
"Product-Title: Tracksuit","Fato de treino"
"Product-Title: Travel Bag","Saco de viagem"
"Product-Title: Travel Mug","Caneca de viagem"
"Product-Title: Trinket Box","Caixa de jóias"
"Product-Title: Truck","Eixos"
"Product-Title: Umbrella","Gurada-chuva (for rain) / Gurada-sol (for sun)"
"Product-Title: Underwear","Roupa Interior"
"Product-Title: V Neck Girly","V Neck Girly"
"Product-Title: V Neck Longsleeve","V Neck Longsleeve"
"Product-Title: V Neck Pullover","V Neck Pullover"
"Product-Title: V Neck Sweater","Camisola V Neck"
"Product-Title: V Neck T-Shirt","V Neck T-Shirt"
"Product-Title: Vest","Colete"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Voucher","Voucher"
"Product-Title: Wall Shelf","Prateleira"
"Product-Title: Wallet","Carteira"
"Product-Title: Washing Glove","Washing Glove"
"Product-Title: Watch","Relógio"
"Product-Title: Wheels","Rodas"
"Product-Title: Windbreaker","Corta-Vento"
"Product-Title: Wrapping Paper","Papel de embrulho"
"Product-Title: Wristband","Pulseira"
"Product-Title: Writing Set","Escrita"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Zipper","Zipper"
"Product-Title: iPhone 4 Case","Capa iPhone 4"
"Product-Title: iPhone 4/4S Case","Capa iPhone 4/4S"
"Product-Title: iPhone 5 Case","Capa iPhone 5"
"Product-Title: iPod Classic Skin","Skin iPod Classic"
