"Product-Title: Action Figure","Figura de acción"
"Product-Title: Girl Jeans Jacket","Chaqueta vaquera para chica"
"Product-Title: Girl Jeans","Vaqueros de chica"
"Product-Title: Girl Leather Jacket","Chaqueta de cuero para chica"
"Product-Title: Girl Leggings","Girl Leggings"
"Product-Title: Girl Longsleeve","Manga larga de chica"
"Product-Title: Girl Pants","Pantalones para chica chica"
"Product-Title: Girl Polo","Girl Polo"
"Product-Title: Girl Pullover","Jersey de punto para chica"
"Product-Title: Girl Sandals","Sandalias para chica"
"Product-Title: Girl Shirt","Camisa para chica"
"Product-Title: Girl Shoes","Zapatos para chica"
"Product-Title: Girl Shorts","Shorts para chica"
"Product-Title: Girl Sweater","Suéter de chica"
"Product-Title: Girl Tank","Tank para chica"
"Product-Title: Girl Track Jacket","Chaqueta deportiva para chica"
"Product-Title: Girl V Neck Longsleeve","Manga larga con cuello pico para chica"
"Product-Title: Girl V Neck Pullover","Jersey de punto con cuello pico para chica"
"Product-Title: Girl V Neck Sweater","Suéter de cuello pico para chica"
"Product-Title: Girl Zipper","Chaqueta con cremallera para chica"
"Product-Title: Girly","Camiseta de chica"
"Product-Title: Glass","Vaso"
"Product-Title: Gloves","Guantes"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","Pinza de pelo"
"Product-Title: Headphones","Auriculares"
"Product-Title: Heels","Tacones"
"Product-Title: Hip Bag","Riñonera"
"Product-Title: Hipbag","Riñonera"
"Product-Title: Hooded Cardigan","Cardigan con capucha"
"Product-Title: Hooded College Jacket","Chaqueta estilo universitario con capucha"
"Product-Title: Hooded Girl Shirt","Camisa con capucha para chica"
"Product-Title: Hooded Shirt","Camisa con capucha"
"Product-Title: Hoodie","Sudadera"
"Product-Title: Hotpants","Pantis"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Chaqueta"
"Product-Title: Jeans Jacket","Chaqueta vaquera"
"Product-Title: Jeans","Vaqueros"
"Product-Title: Jersey","Jersey"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Jumpsuit","Mono"
"Product-Title: Keychain","Llavero"
"Product-Title: Lamp","Lámpara"
"Product-Title: Laptop Bag","Funda de portátil"
"Product-Title: Laptop Case","Funda de portátil"
"Product-Title: Leather Jacket","Chaqueta de cuero"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Long Beanie"
"Product-Title: Longsleeve","Manga larga"
"Product-Title: Magazine","Magazine"
"Product-Title: Magnet","Imán"
"Product-Title: Mesh Shorts","Mesh Shorts"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Taza"
"Product-Title: Necklace","Collar"
"Product-Title: Notebook","Libreta"
"Product-Title: Panties","Panties"
"Product-Title: Pants","Pantalones"
"Product-Title: Patch","Parche"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Estuche"
"Product-Title: Piercing","Piercing"
"Product-Title: Pillow","Almohada"
"Product-Title: Plectra","Púas"
"Product-Title: Plectrum Set","Set de púas"
"Product-Title: Plectrum","Púa"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Flotador de Piscina"
"Product-Title: Poster","Póster"
"Product-Title: Pullover","Jersey de punto"
"Product-Title: Ring Stand","Soporte para anillos"
"Product-Title: Ring","Anillo"
"Product-Title: Sandal","Sandalias"
"Product-Title: Scarf","Bufanda"
"Product-Title: Shirt","Camisa"
"Product-Title: Shoes","Zapatos"
"Product-Title: Shorts","Shorts"
"Product-Title: Shot Glass","Vaso de chupito"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Tabla de skate"
"Product-Title: Skatedeck","Tabla de skate"
"Product-Title: Skirt","Minifalda"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Socks","Calcetines"
"Product-Title: Soft Toy","Juguete Blando"
"Product-Title: Sticker","Pegatina/Sticker"
"Product-Title: Stress Controller","Antiestrés"
"Product-Title: Sunglasses","Gafas de sol"
"Product-Title: Sweat Pants","Chandal"
"Product-Title: Sweater","Suéter"
"Product-Title: Swimsuit","Bañador"
"Product-Title: T-Shirt","Camiseta"
"Product-Title: Tank","Tank"
"Product-Title: Tapestry","Tapete"
"Product-Title: Tea Cup + Saucer","Vaso de Té + Sazonador"
"Product-Title: Tights","Medias"
"Product-Title: Top","Top"
"Product-Title: Top","Top"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","Bolsa de mano"
"Product-Title: Towel","Toalla"
"Product-Title: Toy","Juguete"
"Product-Title: Track Jacket","Chaqueta deportiva"
"Product-Title: Tracksuit","Chandal"
"Product-Title: Travel Bag","Bolsa de viaje"
"Product-Title: Travel Mug","Taza de viaje"
"Product-Title: Trinket Box","Caja de Maquillaje"
"Product-Title: Truck","Ejes"
"Product-Title: Umbrella","Paraguas"
"Product-Title: Underwear","Ropa interior"
"Product-Title: V Neck Girly","Cuello pico de chica"
"Product-Title: V Neck Longsleeve","Manga larga con cuello pico"
"Product-Title: V Neck Pullover","Jersey de punto con cuello pico"
"Product-Title: V Neck Sweater","Suéter de cuello pico"
"Product-Title: V Neck T-Shirt","Camiseta de cuello pico"
"Product-Title: Vest","Chaleco"
"Product-Title: Vinyl","Vinilo"
"Product-Title: Voucher","Cupón"
"Product-Title: Wall Shelf","Estante"
"Product-Title: Wallet","Cartera"
"Product-Title: Washing Glove","Toalla de mano"
"Product-Title: Watch","Reloj"
"Product-Title: Wheels","Ruedas"
"Product-Title: Windbreaker","Chubasquero"
"Product-Title: Wrapping Paper","Papel de regalo"
"Product-Title: Wristband","Pulsera/Muñequera"
"Product-Title: Writing Set","Set de escritura"
"Product-Title: Zip Holder","Sujetador de cremalleras"
"Product-Title: Zipper","Chaqueta con cremallera"
"Product-Title: iPhone 4 Case","Funda para iPhone 4"
"Product-Title: iPhone 4/4S Case","Funda para iPhone 4/4S"
"Product-Title: iPhone 5 Case","Funda para iPhone 5"
"Product-Title: iPod Classic Skin","Funda  para iPod Classic"
