"Product-Title: Action Figure","actiefiguur"
"Product-Title: Earmuff","Oorwarmers"
"Product-Title: Earplug","Plug"
"Product-Title: Earrings","Oorbel"
"Product-Title: Egg Cup & Toast Cutter","Eierdop en toastsnijder"
"Product-Title: Egg Cup","eierdop"
"Product-Title: Expander","Stretcher"
"Product-Title: Figure","figurine"
"Product-Title: Flag","Vlag"
"Product-Title: Flask","flask"
"Product-Title: Flesh Tunnel","Tunnel"
"Product-Title: Foam Hand","Schuimhand"
"Product-Title: Fridge Magnet","Koelkastmagneet"
"Product-Title: Gift Pack","Geschenkverpakking"
"Product-Title: Girl Beanie","Dames Muts"
"Product-Title: Girl Belt","Damesriem"
"Product-Title: Girl College Jacket","Dames College Jack"
"Product-Title: Girl Hooded College Jacket","Dames College Jack met capuchon"
"Product-Title: Girl Hoodie","Dames Hoodie"
"Product-Title: Girl Jacket","Dames Jas"
"Product-Title: Girl Jacket","Dames jas"
"Product-Title: Girl Jeans Jacket","Dames Spijkerjas"
"Product-Title: Girl Jeans","Dames Jeans"
"Product-Title: Girl Leather Jacket","Dames Lerenjas"
"Product-Title: Girl Leggings","Girl Leggings"
"Product-Title: Girl Longsleeve","Dames Longsleeve"
"Product-Title: Girl Pants","Dames Broeken"
"Product-Title: Girl Polo","Girl Polo"
"Product-Title: Girl Pullover","Dames Pullover"
"Product-Title: Girl Sandals","Dames sandalen"
"Product-Title: Girl Shirt","Blouse"
"Product-Title: Girl Shoes","Damesschoenen"
"Product-Title: Girl Shorts","Dames Shorts"
"Product-Title: Girl Sweater","Dames Sweater"
"Product-Title: Girl Tank","Dames Tanktop"
"Product-Title: Girl Track Jacket","Dames Trainingjack"
"Product-Title: Girl V Neck Longsleeve","Dames V-Hals Longsleeve"
"Product-Title: Girl V Neck Pullover","Dames V-Hals Pullover"
"Product-Title: Girl V Neck Sweater","Dames V-Hals Sweater"
"Product-Title: Girl Zipper","Dames Vest"
"Product-Title: Girly","Girly"
"Product-Title: Glass","glas"
"Product-Title: Gloves","Handschoenen"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","haarclip"
"Product-Title: Headphones","Hoofdtelefoon"
"Product-Title: Heels","Hakken"
"Product-Title: Hip Bag","Heuptas"
"Product-Title: Hipbag","Heuptas"
"Product-Title: Hooded Cardigan","Cardigan met capuchon"
"Product-Title: Hooded College Jacket","College Jack met capuchon"
"Product-Title: Hooded Girl Shirt","Damesshirt met capuchon"
"Product-Title: Hooded Shirt","Shirt met capuchon"
"Product-Title: Hoodie","Hoodie"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Jas"
"Product-Title: Jeans Jacket","Spijkerjas"
"Product-Title: Jeans","Jeans"
"Product-Title: Jersey","Jersey"
"Product-Title: Jigsaw Puzzle","Puzzel"
"Product-Title: Jumpsuit","jumpsuit"
"Product-Title: Keychain","Sleutelhanger"
"Product-Title: Lamp","Lamp"
"Product-Title: Laptop Bag","Laptoptass"
"Product-Title: Laptop Case","Laptop Case"
"Product-Title: Leather Jacket","Leren Jas"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Long Beanie"
"Product-Title: Longsleeve","Longsleeve"
"Product-Title: Magazine","Magazine"
"Product-Title: Magnet","Magneet"
"Product-Title: Mesh Shorts","Mesh Shorts"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Mok"
"Product-Title: Necklace","Ketting"
"Product-Title: Notebook","notitieboek"
"Product-Title: Panties","Panties"
"Product-Title: Pants","Broeken"
"Product-Title: Patch","Patch"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Pennenbak"
"Product-Title: Piercing","piercing"
"Product-Title: Pillow","Kussen"
"Product-Title: Plectra","plectrums"
"Product-Title: Plectrum Set","plectrumset"
"Product-Title: Plectrum","plectrum"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Zwemband"
"Product-Title: Poster","Poster"
"Product-Title: Pullover","Pullover"
"Product-Title: Ring Stand","Ringenstandaard"
"Product-Title: Ring","Ring"
"Product-Title: Sandal","Sandalen"
"Product-Title: Scarf","Sjaal"
"Product-Title: Shirt","Overhemd"
"Product-Title: Shoes","Schoenen"
"Product-Title: Shorts","Shorts"
"Product-Title: Shot Glass","shotglas"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Skateboard Deck"
"Product-Title: Skatedeck","Skateboard Deck"
"Product-Title: Skirt","Rokje"
"Product-Title: Slipmat","slipmat"
"Product-Title: Socks","Sokken"
"Product-Title: Soft Toy","Knuffel"
"Product-Title: Sticker","Sticker"
"Product-Title: Stress Controller","antistress"
"Product-Title: Sunglasses","Zonnebrillen"
"Product-Title: Sweat Pants","Joggingsbroeken"
"Product-Title: Sweater","Sweater"
"Product-Title: Swimsuit","Badpakken"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: Tank","Tanktop"
"Product-Title: Tapestry","Wandtapijt"
"Product-Title: Tea Cup + Saucer","Theekop + Schotel"
"Product-Title: Tights","Panties"
"Product-Title: Top","Top"
"Product-Title: Top","Topje"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","Schoudertas"
"Product-Title: Towel","Handdoek"
"Product-Title: Toy","Speelgoed"
"Product-Title: Track Jacket","Trainingsjack"
"Product-Title: Tracksuit","trainingspak"
"Product-Title: Travel Bag","reistas"
"Product-Title: Travel Mug","reisbeker"
"Product-Title: Trinket Box","Make-Up Box"
"Product-Title: Truck","Truch"
"Product-Title: Umbrella","Paraplu"
"Product-Title: Underwear","Ondergoed"
"Product-Title: V Neck Girly","V-Hals Girly"
"Product-Title: V Neck Longsleeve","V-Hals Longsleeve"
"Product-Title: V Neck Pullover","V-Hals Pullover"
"Product-Title: V Neck Sweater","V-Hals Sweater"
"Product-Title: V Neck T-Shirt","V-Hals T-Shirt"
"Product-Title: Vest","Bodywarmer"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Voucher","Cadeaubon"
"Product-Title: Wall Shelf","Wandplank"
"Product-Title: Wallet","Portemonnee"
"Product-Title: Washing Glove","Washandje"
"Product-Title: Watch","Horloge"
"Product-Title: Wheels","wielen"
"Product-Title: Windbreaker","Windbreaker"
"Product-Title: Wrapping Paper","cadeaupapier"
"Product-Title: Wristband","Polsbandje"
"Product-Title: Writing Set","Schrijfset"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Zipper","Vest"
"Product-Title: iPhone 4 Case","iPhone 4 Case"
"Product-Title: iPhone 4/4S Case","iPhone 4/4S Case"
"Product-Title: iPhone 5 Case","iPhone 5 Case"
"Product-Title: iPod Classic Skin","iPod Classic Case"
