"Product-Title: Action Figure","Action figure"
"Product-Title: Girly","Girly"
"Product-Title: Glass","Vasi"
"Product-Title: Gloves","Guanti"
"Product-Title: Goblet","Goblet"
"Product-Title: Hair Clip","Molletta per capelli"
"Product-Title: Headphones","Cuffie"
"Product-Title: Heels","Tacchi"
"Product-Title: Hip Bag","Marsupio"
"Product-Title: Hipbag","Marsupio"
"Product-Title: Hooded Cardigan","Cardigan con cappuccio"
"Product-Title: Hooded College Jacket","Giacca college con cappuccio"
"Product-Title: Hooded Girl Shirt","Camicia da donna con cappuccio"
"Product-Title: Hooded Shirt","Camicia con cappuccio"
"Product-Title: Hoodie","Felpa con cappuccio"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Giacca"
"Product-Title: Jeans Jacket","Giacca di jeans"
"Product-Title: Jeans","Jeans"
"Product-Title: Jersey","Jersey"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Jumpsuit","Tuta"
"Product-Title: Keychain","Portachiavi"
"Product-Title: Lamp","Lampada"
"Product-Title: Laptop Bag","Borsa laptop"
"Product-Title: Laptop Case","Custodia Laptop"
"Product-Title: Leather Jacket","Giacca di pelle"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Berretto lungo"
"Product-Title: Longsleeve","T-Shirt a maniche lunghe"
"Product-Title: Magazine","Magazine"
"Product-Title: Magnet","Magnete"
"Product-Title: Mesh Shorts","Pantaloncini in rete mesh"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Tazza"
"Product-Title: Necklace","Collana"
"Product-Title: Notebook","Quaderno"
"Product-Title: Panties","Mutande"
"Product-Title: Pants","Pantaloni"
"Product-Title: Patch","Toppa"
"Product-Title: Peeptoes","Scarpe spuntate"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Astuccio"
"Product-Title: Piercing","Piercing"
"Product-Title: Pillow","Cuscino"
"Product-Title: Plectra","Plettri"
"Product-Title: Plectrum Set","Set di plettri"
"Product-Title: Plectrum","Plettro"
"Product-Title: Polo","Polo"
"Product-Title: Pool Float","Gonfiabile da piscina"
"Product-Title: Poster","Poster"
"Product-Title: Pullover","Pullover"
"Product-Title: Ring Stand","Porta anelli"
"Product-Title: Ring","Anello"
"Product-Title: Sandal","Sandali"
"Product-Title: Scarf","Sciarpa"
"Product-Title: Shirt","Camicia"
"Product-Title: Shoes","Scarpe"
"Product-Title: Shorts","Pantaloncini"
"Product-Title: Shot Glass","Bicchiere da shot"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Tavola da skate"
"Product-Title: Skatedeck","Tavola da skate"
"Product-Title: Skirt","Gonna"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Socks","Calzini"
"Product-Title: Soft Toy","Giocattolo morbido"
"Product-Title: Sticker","Adesivo"
"Product-Title: Stress Controller","Antistress"
"Product-Title: Sunglasses","Occhiali da sole"
"Product-Title: Sweat Pants","Pantaloni della tuta"
"Product-Title: Sweater","Felpa"
"Product-Title: Swimsuit","Costume"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: Tank","Canotta"
"Product-Title: Tapestry","Tappezzeria"
"Product-Title: Tea Cup + Saucer","Tazza da the + piattino"
"Product-Title: Tights","Collant"
"Product-Title: Top","Top"
"Product-Title: Top","Top"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","Borsa in tessuto"
"Product-Title: Towel","Asciugamano"
"Product-Title: Toy","Giocattolo"
"Product-Title: Track Jacket","Giacca della tuta"
"Product-Title: Tracksuit","Tuta"
"Product-Title: Travel Bag","Borsa da viaggio"
"Product-Title: Travel Mug","Tazza da viaggio"
"Product-Title: Trinket Box","Cofanetto"
"Product-Title: Truck","Camion"
"Product-Title: Umbrella","Ombrello"
"Product-Title: Underwear","Intimo"
"Product-Title: V Neck Girly","Girly con scollo a V"
"Product-Title: V Neck Longsleeve","T-Shirt a maniche lunghe con scollo a v"
"Product-Title: V Neck Pullover","Pullover con scollo a v"
"Product-Title: V Neck Sweater","Felpa con scollo a v"
"Product-Title: V Neck T-Shirt","T-Shirt con scollo a V"
"Product-Title: Vest","Gilet"
"Product-Title: Vinyl","Vinile"
"Product-Title: Voucher","Coupon"
"Product-Title: Wall Shelf","Libreria"
"Product-Title: Wallet","Portafoglio"
"Product-Title: Washing Glove","Guanto da doccia"
"Product-Title: Watch","Orologio"
"Product-Title: Wheels","Ruote"
"Product-Title: Windbreaker","Giacca a vento"
"Product-Title: Wrapping Paper","Carta da regalo"
"Product-Title: Wristband","Polsino"
"Product-Title: Writing Set","Set da scrittura"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Zipper","Felpa con zip"
"Product-Title: iPhone 4 Case","Cover iPhone 4"
"Product-Title: iPhone 4/4S Case","Cover iPhone 4/4S"
"Product-Title: iPhone 5 Case","Cover iPhone 5"
"Product-Title: iPod Classic Skin","iPod Classic Custodia"
