"Product-Title: Action Figure","Actionfigur"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Jacket","Jacka"
"Product-Title: Jeans Jacket","Jeansjacka"
"Product-Title: Jeans","Jeans"
"Product-Title: Jersey","Tröja"
"Product-Title: Jigsaw Puzzle","Pussel"
"Product-Title: Jumpsuit","Jumpsuit"
"Product-Title: Keychain","Nyckelring"
"Product-Title: Lamp","Lampa"
"Product-Title: Laptop Bag","Datorväska"
"Product-Title: Laptop Case","Laptopfodral"
"Product-Title: Leather Jacket","Skinnjacka"
"Product-Title: Leggings","Leggings"
"Product-Title: Long Beanie","Long Beanie"
"Product-Title: Longsleeve","Långärmad T-shirt"
"Product-Title: Magazine","Tidning"
"Product-Title: Magnet","Magnet"
"Product-Title: Mesh Shorts","Meshshorts"
"Product-Title: Money Box","Money Box"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Mug","Mugg"
"Product-Title: Necklace","Halsband"
"Product-Title: Notebook","Anteckningsbok"
"Product-Title: Panties","Trosor"
"Product-Title: Pants","Byxor"
"Product-Title: Patch","Patch"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen","Pen"
"Product-Title: Pencil Case","Pennfodral"
"Product-Title: Piercing","Piercing"
"Product-Title: Pillow","Kudde"
"Product-Title: Plectra","Plektrum"
"Product-Title: Plectrum Set","Plektrumset"
"Product-Title: Plectrum","Plektrum"
"Product-Title: Polo","Pikétröja"
"Product-Title: Pool Float","Pool float"
"Product-Title: Poster","Poster"
"Product-Title: Pullover","Pullover"
"Product-Title: Ring Stand","Ringhållare"
"Product-Title: Ring","Ring"
"Product-Title: Sandal","Sandaler"
"Product-Title: Scarf","Sjal"
"Product-Title: Shirt","Skjorta"
"Product-Title: Shoes","Skor"
"Product-Title: Shorts","Shorts"
"Product-Title: Shot Glass","Shotglas"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Skate Deck","Skateboard"
"Product-Title: Skatedeck","Skateboard"
"Product-Title: Skirt","Kjol"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Socks","Strumpor"
"Product-Title: Soft Toy","Mjuk leksak"
"Product-Title: Sticker","Klistermärke"
"Product-Title: Stress Controller","Stresskontrollerare"
"Product-Title: Sunglasses","Solglasögon"
"Product-Title: Sweat Pants","Mjukisbyxor"
"Product-Title: Sweater","Tröja"
"Product-Title: Swimsuit","Baddräkt"
"Product-Title: T-Shirt","T-shirt"
"Product-Title: Tank","Linne"
"Product-Title: Tapestry","Bonad"
"Product-Title: Tea Cup + Saucer","Teakopp + assiett"
"Product-Title: Tights","Tights"
"Product-Title: Top","Bikiniöverdel"
"Product-Title: Top","Top"
"Product-Title: Torch","Torch"
"Product-Title: Tote Bag","Tygpåse"
"Product-Title: Towel","Handduk"
"Product-Title: Toy","Leksak"
"Product-Title: Track Jacket","Träningsjacka"
"Product-Title: Tracksuit","Tracksuit"
"Product-Title: Travel Bag","Resväska"
"Product-Title: Travel Mug","Resemugg"
"Product-Title: Trinket Box","Smyckesskrin"
"Product-Title: Truck","Lastbil"
"Product-Title: Umbrella","Paraply"
"Product-Title: Underwear","Underkläder"
"Product-Title: V Neck Girly","V-neck T-shirt tjej"
"Product-Title: V Neck Longsleeve","V-neck långärmad T-shirt"
"Product-Title: V Neck Pullover","V-neck pullover"
"Product-Title: V Neck Sweater","V-neck tröja"
"Product-Title: V Neck T-Shirt","V-neck T-shirt"
"Product-Title: Vest","Väst"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Voucher","Rabattkort"
"Product-Title: Wall Shelf","Vägghylla"
"Product-Title: Wallet","Plånbok"
"Product-Title: Washing Glove","Tvätthandske"
"Product-Title: Watch","Armbandsur"
"Product-Title: Wheels","Hjul"
"Product-Title: Windbreaker","Vindjacka"
"Product-Title: Wrapping Paper","Omslagspapper"
"Product-Title: Wristband","Vristband"
"Product-Title: Writing Set","Skrivset"
"Product-Title: Zip Holder","Blixtlåshållare"
"Product-Title: Zipper","Huvtröja med dragkedja"
"Product-Title: iPhone 4 Case","iPhone 4 Skal"
"Product-Title: iPhone 4/4S Case","iPhone 4/4S Skal"
"Product-Title: iPhone 5 Case","iPhone 5 Skal"
"Product-Title: iPod Classic Skin","iPod Classic Skal"
