"About us (Magento CMS)","Over ons (Magento CMS)"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Ontvang de Impericon nieuwsbrief & een voucher t.w.v. 5 euro."
"Get your 5€ Voucher","Ontvang jouw 5 euro voucher."
"Give a feedback","Geef feedback"
"Go review the order","Bekijk je bestelling"
"Go to Facebook","Ga naar Facebook"
"Go to Instagram","Ga naar Instagram"
"Go to Pinterest","Ga naar Pinterest"
"Go to Youtube","Ga naar YouTube"
"Go to checkout","Ga naar afrekenen"
"Help","Help"
"Hi {firstname}","Hallo {voornaam}"
"Home","Huis"
"House/Apartment number *","Huis / Appartement nummer*"
"House/Apartment number","Huis / appartement nummer"
"How did you like it?","Hoe vond je het?"
"I accept terms and conditions","Ik accepteer de algemene voorwaarden"
"I accept","Ik accepteer"
"I agree to","Ik ga akkoord met"
"I have a company and want to receive an invoice for every order","Ik heb een bedrijf en wil voor elke bestelling een factuur ontvangen"
"I have read and agree with the {terms}","Ik heb de {policy} en {return} gelezen en ga ermee akkoord"
"I want to create an account","Ik wil een account aanmaken"
"I want to create an account'","Ik wil een account maken '"
"I want to generate an invoice for the company","Ik wil een factuur genereren voor het bedrijf"
"I want to receive a newsletter","Ik wil de nieuwsbrief ontvangen"
"I want to receive a newsletter","en ga akkoord met de voorwaarden"
"If you need assistance you can drop {link}.","Als je hulp nodig hebt, stuur ons een mail via {link}"
"In sale","In de uitverkoop"
"In stock & shippable","Op voorraad en kan worden verzonden"
"Instant Checkout","Direct afrekenen"
"Internal Server Error 500","Interne serverfout 500"
"Invalid characters.","Ongeldige tekens."
"Italian","Italiaans"
"Italy","Italië"
"Items ordered","Bestelde artikelen"
"Kidswear","Kinderkleding"
"Last name","Achternaam"
"Last update","Laatste update"
"Latest","Laatste"
"Latest","Laatste"
"Leave us a 50 words review and win one of three {voucher} vouchers each month.","Laat een review van tenminste 50 woorden achter en maak per maand kans op één van de drie vouchers."
"Legal notice","Juridische kennisgeving"
"Load more","Meer laden"
"Log in to your account","Log in op je account"
"Log in","Log in"
"Login to your account","Log in op jeaccount"
"Login with Facebook","Inloggen met Facebook"
"Logout of Facebook","Uitloggen van Facebook"
"Logout","Uitloggen"
"Magazine","Magazine"
"Male","Man"
"Men's fashion","Herenmode"
"More info's","Meer info"
"My Account","Mijn account"
"My Recently viewed products","Mijn recent bekeken producten"
"My account","Mijn account"
"My addresses","Mijn adressen"
"My addresses","Mijn adressen"
"My coupons","Mijn kortingsbonnen"
"My loyalty card","Mijn klantenkaart"
"My newsletter","Mijn nieuwsbrief"
"My order","Mijn bestelling"
"My orders","Mijn bestellingen"
"My product reviews","Mijn productrecensies"
"My product-alerts","Mijn productmeldingen"
"My profile","Mijn profiel"
"Name must have at least 2 letters.","Naam moet minimaal 2 letters bevatten."
"Name must have at least 3 letters.","Naam moet minimaal 3 letters bevatten."
"New Luma Yoga Collection","Nieuwe Luma Yoga-collectie"
"New address","Nieuw adres"
"New password *","Nieuw wachtwoord*"
"New","Nieuw"
"Newsletter","Nieuwsbrief"
"No informations","Geen informatie"
"No orders yet","Nog geen bestellingen"
"No products found!","Geen producten gevonden!"
"No products yet","Nog geen producten"
"No results found","geen resultaten gevonden"
"No results were found.","Er zijn geen resultaten gevonden."
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","Er zijn nog geen beoordelingen geplaatst. Aarzel niet om je mening te delen en een eerste review te schrijven!"
"Not available in time","Niet op tijd beschikbaar"
"Not yet an account?","Nog geen account?"
"Oh great, you are already subscribed","Oh top, je bent al ingeschreven."
"Onesize","Onesize"
"Only a few left","Nog maar een paar over"
"Only alphanumeric characters are allowed.","Alleen alfanumerieke karakters zijn toegestaan."
"Open menu","Menu openen"
"Open microcart","Open microcart"
"Open my account","Open mijn account"
"Open search panel","Open het zoekvenster"
"Open wishlist","Open verlanglijstje"
"Order ID","Bestellings ID"
"Order Summary","Besteloverzicht"
"Order confirmation","Bestelbevestiging"
"Order","Bestellen"
"Order-Review","Bestel-Review"
"Orders","bestellingen"
"Our {department}","Onze {afdeling}"
"Participate now!","Doe nu mee!"
"Password has successfully been changed","Wachtwoord is succesvol gewijzigd"
"Password must have at least 8 letters.","Wachtwoord moet minimaal 8 letters bevatten."
"Password","Wachtwoord"
"Passwords must be identical","Wachtwoorden moeten identiek zijn"
"Passwords must be identical.","Wachtwoorden moeten identiek zijn."
"Payment method","Betalingswijze"
"Payment","Betaling"
"Payments & Shipping","Betaling & Verzending"
"Pcs.","Stuk(s)"
"Personal Details","Persoonlijke gegevens"
"Phone Number","Telefoonnummer"
"Phone number may be needed by carrier","Telefoonnummer kan nodig zijn voor de koerier"
"Place the order","Bestelling plaatsen"
"Please change Your search criteria and try again.","Wijzig uw zoekcriteria en probeer het opnieuw."
"Please check if all data are correct","Controleer of alle gegevens correct zijn"
"Please confirm order you placed when you was offline","Bevestig de bestelling die je hebt geplaatst toen je offline was"
"Please provide valid e-mail address.","Geef een geldig e-mailadres op."
"Please try again or contact our customer-support.","Probeer het opnieuw of neem contact op met onze klantenservice."
"Please wait","Wacht alsjeblieft"
"Postcode","Postcode"
"Price (High to low)","Prijs (hoog naar laag)"
"Price (Low to high)","Prijs laag naar hoog)"
"Price","Prijs"
"Price","Prijs"
"Price: High to low","Prijs: hoog naar laag"
"Price: Low to high","Prijs laag naar hoog"
"Privacy Policy","Privacybeleid"
"Product Name","productnaam"
"Product details","Productdetails"
"Product details","Productdetails"
"Productdetails","Productdetails"
"Products","producten"
"Purchase","Aankoop"
"Qty","Aantal"
"Quantity","Aantal stuks"
"Read less","Lees minder"
"Read more","Lees verder"
"Register an account","Registreer je account"
"Register now","Registreer nu"
"Register with Facebook","Registreren met Facebook"
"Register","Registreren"
"Release date","Releasedatum"
"Remake order","Bestelling opnieuw plaatsen"
"Remember me","Onthoud mij"
"Remove discount code","Kortingscode verwijderen"
"Remove from compare","Verwijderen uit vergelijking"
"Remove","Verwijderen"
"Repeat new password *","Herhaal nieuw wachtwoord*"
"Repeat password","herhaal wachtwoord"
"Request size","Verzoek een maat?"
"Reset password","Wijzig wachtwoord"
"Resetting the password ...","Wachtwoord opnieuw instellen ..."
"Return Instructions","Retourinstructies"
"Return Policy","Terugstuurbeleid"
"Return to log in","Ga terug om in te loggen"
"Return to shopping","Ga terug naar winkelen"
"Returns","Retouren"
"Review order","Bestelling controleren"
"Review order","Bestelling controleren"
"Review your order #{orderId}","Controleer uw bestelling # {orderId}"
"Review","Review"
"Reviewrating: 1","1 - Ehhhw!"
"Reviewrating: 2","2 - Nah, ja-nee, waarom niet."
"Reviewrating: 3","3 - Best wel goed"
"Reviewrating: 4","4 - Echt heel leuk"
"Reviewrating: 5","5 - Geweldig"
"Reviews","Reviews"
"SKU","SKU"
"Safety","Veiligheid"
"Sale","Uitverkoop"
"Save address","Adres opslaan"
"Search","Zoeken"
"Searched term should consist of at least 3 characters.","De zoekterm moet uit minimaal 3 tekens bestaan."
"See details","Details bekijken"
"See our bestsellers","Bekijk onze bestsellers"
"Select No","Selecteer Nee"
"Select Yes","Selecteer Ja"
"Select color","Selecteer kleur"
"Select size","Selecteer maat"
"Ship to my default address","Verzenden naar mijn standaardadres"
"Shipment tracking","Verzending volgen"
"Shipping address","Verzendadres"
"Shipping method","Verzendmethode"
"Shipping","Verzending"
"Shopping cart","Winkelmandje"
"Shopping summary","Overzicht winkelmandje"
"Show less","Laat minder zien"
"Show subcategories","Subcategorieën weergeven"
"Sign up to our newsletter and receive a coupon for 10% off!","Meld je aan voor onze nieuwsbrief en ontvang een bon voor 10% korting!"
"Similar bands:","Vergelijkbare bands:"
"Similar products","Vergelijkbare producten"
"Similar products","Vergelijkbare producten"
"Size Chart","Maattabel"
"Size guide","Maattabel"
"Size requested","Gewenste maat"
"Size","Maat"
"Size","Maat"
"Something went wrong ...","Er is iets fout gegaan ..."
"Sorry but this competition is already over.","Sorry, deze competitie is al voorbij."
"Sorry but you don't have any orders yet.","maar je hebt nog geen bestellingen."
"Sort by","Sorteer op"
"State / Province","Staat / Provincie"
"Status","Status"
"Store locator","Winkel zoeker"
"Street *","Straat*"
"Street","Straat"
"Subscribe to the newsletter and receive a coupon for 10% off","Abonneer je op de nieuwsbrief en ontvang een bon voor 10% korting"
"Subscribe","abonneren"
"Subtotal","Subtotaal"
"Swap navigation","Wissel navigatie"
"Switch store","Wissel van winkel"
"Tax ID *","BTW-nummer*"
"Tax ID must have at least 3 letters.","Belasting-ID moet minimaal 3 letters bevatten."
"Tax identification number *","Identificatienummer van de belasting*"
"Tax identification number must have at least 3 letters.","Belastingidentificatienummer moet ten minste 3 letters bevatten."
"Tax","Belasting"
"Telephone","Telefoon"
"Terms and Conditions","Algemene Voorwaarden"
"Thank you for your purchase!","Bedankt voor bestelling!"
"Thank you","Dankjewel"
"Thank you. We successfully received your data and will inform you about further steps.","Dank je. We hebben je gegevens met succes ontvangen en zullen je informeren over verdere stappen."
"The model","Het model"
"The new account will be created with the purchase. You will receive details on e-mail.","Het nieuwe account wordt bij de aankoop gemaakt. Je ontvangt de details per e-mail."
"The server order id has been set to","Het serverorder-ID is ingesteld op"
"There are no addresses yet.","Er zijn nog geen adressen."
"There was an error while removing your coupon code. Please try again.","Er is een fout opgetreden bij het verwijderen van je couponcode. Probeer het opnieuw."
"There was an unexpected error. Please check your entered data and try again.","Er is een onverwachte fout opgetreden. Controleer de ingevoerde gegevens en probeer het opnieuw."
"These are your recent orders. Click for more details and options.","Dit zijn je recente bestellingen. Klik voor meer details en opties."
"This is a merch product of the above-named band. We want to point out that the article description is a paraphrasing specification in consideration of the imprinted motif.","Dit is een merchande product van de bovengenoemde band. We willen erop wijzen dat de artikelbeschrijving een specificatie is met oog op de gedrukte print."
"This is not a valid postcode. Format: {code}","Dit is geen geldige postcode. Formaat: {code}"
"This isn't a valid field value.","Dit is geen geldige veldwaarde."
"This product is out of stock.","Dit product is uitverkocht."
"Toggle password visibility","Schakel wachtwoordzichtbaarheid in"
"Track my order","Traceer mijn bestelling"
"Type what you are looking for...","Typ waar je naar op zoek bent..."
"Type your opinion","Typ je mening"
"Type","Type"
"Unfortunately we can't find the page you are looking for.","Helaas kunnen we de pagina die je zoekt niet vinden."
"United States","Verenigde Staten"
"Unset {{label}} filter","Filter {{label}} uitschakelen"
"Update my preferences","Update mijn voorkeuren"
"Update my profile","Werk mijn profiel bij"
"Update my shipping details","Update mijn verzendgegevens"
"Use a valid date.","Gebruik een geldige datum."
"Use as my default billing address","Gebruik als mijn standaard factuuradres"
"Use as my default shipping address","Gebruik als mijn standaard verzendadres"
"Use my billing data","Gebruik mijn factuurgegevens"
"Use my company's address details","Gebruik de adresgegevens van mijn bedrijf"
"Use my company's address details","Gebruik de adresgegevens van mijn bedrijf"
"VAT number","BTW-nummer"
"Value","Waarde"
"View all {department}","Alles bekijken in {department}"
"View all","Alles bekijken"
"View order","Bestelling bekijken"
"We are going to reach out to you as soon as possible.","We zullen zo snel mogelijk contact met je opnemen."
"We are sorry you failed multiple times. You can contact our support for help.","Het spijt ons dat het meerdere keren is mislukt. Neem voor hulp contact op met onze klantenservice."
"We are using cookies to give you the best experience on our site.","We gebruiken cookies om je de beste ervaring op onze site te bieden."
"We can't find the page","We kunnen de pagina niet vinden"
"We found other products you might like","We hebben andere producten gevonden die je misschien leuk vindt"
"We will send you details regarding the order","We sturen je de details over de bestelling"
"We will send you the invoice to given e-mail address","Wij sturen u de factuur naar het opgegeven e-mailadres"
"We've noticed Internal Server Error while rendering this request.","We hebben een interne serverfout opgemerkt bij het uitvoeren van dit verzoek."
"We've sent password reset instructions to your email. Check your inbox and follow the link.","We hebben instructies voor het opnieuw instellen van het wachtwoord per e-mail verzonden. Controleer je inbox en volg de link."
"What we can improve?","Wat kunnen we verbeteren?"
"Which size fits me?","Welke maat past bij mij?"
"Wishlist","verlanglijst"
"Women fashion","Dames mode"
"Write a product review of your last orders products.","Schrijf een productbeoordeling van recent gekochte producten."
"Write a review and get a {voucher} voucher!","Schrijf een review en maak kans op een {voucher} voucher!"
"You are logged in as","Je bent ingelogd als"
"You are offline","sommige functionaliteiten zijn beperkt"
"You aren't subscribed to any product alerts.","Je bent niet geabonneerd op productmeldingen."
"You can also use {link} to find anything you were looking for.","Je kunt ook {link} gebruiken om alles te vinden waarnaar je op zoek was."
"You can find us on","Je kunt ons vinden op"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data","Je kunt bij je account inloggen met je eerder ingestelde e-mailadres en wachtwoord. Je gegevens wijzigen kan dan via je profiel."
"You can manage your subscription in your {account-settings}.","Je kunt je abonnement beheren in je {account-instellingen}."
"You have been successfully subscribed to our newsletter!","Je bent succesvol ingeschreven voor onze nieuwsbrief!"
"You have been successfully unsubscribed from our newsletter!","Je bent succesvol afgemeld van onze nieuwsbrief!"
"You have no items to compare.","Je hebt geen items om te vergelijken."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Je hebt de bestelling succesvol geplaatst. je kunt de status van je bestelling controleren met behulp van onze functie <b> bezorgstatus </b>. Je ontvangt een e-mail met een orderbevestiging met details van je bestelling en een link om de voortgang te volgen."
"You may like these too","Misschien vind je deze ook leuk"
"You must accept the terms and conditions.","Je moet de voorwaarden accepteren."
"You successfully subscribed yourself to this products stock notifications. You will receive updates about this product in future.","Je hebt je succesvol ingeschreven voor de voorraadmeldingen van deze producten. Je ontvangt in de toekomst updates over dit product."
"You successfully unsupscripted for this stock notification.","Je hebt met succes uitgeschreven voor deze voorraadmelding."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Je ontvangt een e-mail met een orderbevestiging met details van je bestelling en een link om de voortgang te volgen."
"You're logged out","Je bent uitgelogd"
"You're subscribed to the following products and will be notified as soon as they are back in stock.","Je bent geabonneerd op de volgende producten en ontvangt een melding zodra ze weer op voorraad zijn."
"You've entered an incorrect coupon code. Please try again.","Je heeft een onjuiste kortingsboncode ingevoerd. Probeer het opnieuw."
"You've entered an incorrect coupon code. Please try again.","Je heeft een onjuiste kortingscode ingevoerd. Probeer het opnieuw."
"Your Account","Jouw account"
"Your Google reCAPTCHA validation is invalid.","Je Google reCAPTCHA-validatie is ongeldig."
"Your account","Jouw account"
"Your coupon has been removed.","Je kortingsbon is verwijderd."
"Your coupon has been successfully applied.","Je kortingsbon is succesvol toegepast."
"Your email address","Jouw mailadres"
"Your feedback is important for us. Let us know what we could improve.","Je feedback is belangrijk voor ons. Laat ons weten wat we kunnen verbeteren."
"Your order has been received.","Je bestelling is ontvangen."
"Your order-number is:","Je bestelnummer is:"
"Your purchase","Jouw aankoop"
"Your revocation is now in progress.","Je herroeping is in behandeling."
"Your shopping cart is empty.","Je winkelmandje is leeg."
"Your wishlist is empty.","Je wenslijst is leeg."
"Zip-code *","Postcode*"
"Zip-code must have at least 3 letters.","Postcode moet minimaal 3 letters bevatten."
"Zip-code","Postcode"
"account settings","account instellingen"
"as low as","zo laag als"
"browse our catalog","blader door onze catalogus"
"color","kleur"
"excl.","excl."
"incl.","incl."
"items per page","items per pagina"
"items","items"
"login","Inloggen"
"or write to us through","of schrijf ons via"
"or","of"
"orderStatus_canceled","Geannuleerd"
"orderStatus_complete","verzonden"
"orderStatus_pending","Wachtend"
"orderStatus_preorder","Pre-Order"
"orderStatus_processing","Verwerken"
"our search","onze zoektocht"
"search","zoeken"
"size","maat"
"to find something beautiful for You!","om iets moois voor jou te vinden!"
"us a line here","ons een lijn hier"
"{count} items","{count} items"
"{incl} {rate}% VAT","Excl. Verzending"
"{name} is {height} tall and wears size {size}.","{name} is {hoogte} lang en draagt ​​maat {maat}."
