"About us (Magento CMS)","À propos (Magento CMS)"
"Home","Accueil"
"House/Apartment number *","Numéro d'habitation*"
"House/Apartment number","Numéro d'habitation"
"How did you like it?","Comment l'avez-vous aimée?"
"I accept terms and conditions","J'accepte les conditions générales"
"I accept","J'accepte"
"I agree to","J'accepte de"
"I have a company and want to receive an invoice for every order","J'ai une société et souhaite une facture pour chaque commande"
"I have read and agree with the {terms}","J'ai lu et j'accepte les conditions générales"
"I want to create an account","Je souhaite créer un compte"
"I want to create an account'","Je souhaite créer un compte'"
"I want to generate an invoice for the company","Je souhaite obtenir une facture pour ma société"
"I want to receive a newsletter","Je souhaite recevoir une newsletter"
"I want to receive a newsletter","et j'accepte ses conditions"
"If you need assistance you can drop {link}.","Si vou avez besoin d'aide, vous pouvez envoyer {link}"
"In sale","En promotion"
"In stock & shippable","En stock et prêt à être envoyé"
"Instant Checkout","Paiement instantané"
"Internal Server Error 500","Erreur Interne du Serveur 500"
"Invalid characters.","Caractères invalides"
"Italian","Italien"
"Italy","Italie"
"Items ordered","Article commandé"
"Kidswear","Vêtements pour enfants"
"Last name","Nom de Famille"
"Last update","Dernière mise à jour"
"Latest","Dernier(e)"
"Latest","Dernier(e)"
"Leave us a 50 words review and win one of three {voucher} vouchers each month.","Laissez un avis de 50 mots et gagnez l'un des trois bons d'achat {voucher} chaque mois."
"Legal notice","Mention légale"
"Limited","Édition Limitée"
"Load more","Charger davantage"
"Log in to your account","Connectez vous à votre compte"
"Log in","Connexion"
"Login to your account","Connectez vous à votre compte"
"Login with Facebook","Connectez vous avec Facebook"
"Logout of Facebook","Déconnectez vous de Facebook"
"Logout","Déconnexion "
"Magazine","Magazine"
"Male","Homme"
"Men's fashion","Mode Homme"
"More info's","Plus d'infos"
"My Account","Mon compte"
"My Recently viewed products","Produits vus récemment"
"My account","Mon compte"
"My addresses","Mes adresses"
"My addresses","Mon adresse"
"My coupons","Mes bon d'achat"
"My loyalty card","Ma carte de fidélité"
"My newsletter","Ma newsletter"
"My order","Ma commande"
"My orders","Mes commandes"
"My product reviews","Mes avis sur les produits"
"My product-alerts","Mes alertes produits"
"My profile","Mon profile"
"Name must have at least 2 letters.","Le nom doit comporter au moins 2 lettres"
"Name must have at least 3 letters.","Le nom doit comporter au moins 3 lettres"
"New Luma Yoga Collection","Nouvelle collection Luma Yoga"
"New address","Nouvelle adresse"
"New password *","Nouveau mot de passe*"
"New","Nouveauté"
"Newsletter","Newsletter"
"No informations","Pas d'informations"
"No orders yet","Pas encore de commande"
"No products found!","Pas d'articles à afficher!"
"No products yet","Pas encore d'articles"
"No results found","Aucun résultat"
"No results were found.","Aucun résultat"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","Aucun avis n'a été posté. N'hésitez pas à être le premier à partager le votre!"
"Not available in time","Pas disponible à temps"
"Not yet an account?","Pas encore de compte?"
"Notice","Remarque"
"Oh great","Super"
"Onesize","Onesize"
"Only a few left","Peu en stock"
"Only alphanumeric characters are allowed.","Seuls les caractères alphanumériques sont acceptés."
"Open menu","Ouvrir le menu"
"Open microcart","Ouvrir le microart"
"Open my account","Ouvrir mon compte"
"Open search panel","Ouvrir le panneau de recherche"
"Open wishlist","Ouvrir ma liste d'envies"
"Order ID","Numéro de commande"
"Order Summary","Récapitulatif de commande"
"Order confirmation","Confirmation de commande"
"Order","Commande"
"Order-Review","Avis postés"
"Orders","Commandes"
"Our {department}","Nos {department}"
"Participate now!","Participez dès maintenant!"
"Password has successfully been changed","Vos mot de passe a été modifié avec succès!"
"Password must have at least 8 letters.","Votre mot de passe doit contenir au moins 8 caractères."
"Password","Mot de pass"
"Passwords must be identical","Les mots de passe doivent être identiques"
"Passwords must be identical.","Les mots de passe doivent être identiques."
"Payment method","Moyen de paiement"
"Payment","Paiement"
"Payments & Shipping","Paiement et expédition"
"Pcs.","Qté"
"Personal Details","Informations personelles"
"Phone Number","Numéro de téléphone"
"Phone number may be needed by carrier","Le numéro de téléphone peut être requis pour le transporteur"
"Place the order","Passer la commande"
"Please change Your search criteria and try again.","Veuillez changer votre critères de recherche et essayer à nouveau."
"Please check if all data are correct","Merci de bien vouloir vérifier si toutes vos informations sont correctes."
"Please confirm order you placed when you was offline","Merci de confirmer la commande passée pendant que vous étiez hors ligne"
"Please provide valid e-mail address.","Merci d'indiquer une adresse mail valide."
"Please try again or contact our customer-support.","Merci d'essayer à nouveau, ou contactez notre service client."
"Please wait","Veuillez patienter"
"Postcode","Code postal"
"Preorder","Précommande"
"Price (High to low)","Prix {décroissant}"
"Price (Low to high)","Prix {croissant}"
"Price","Prix"
"Price","Prix"
"Price: High to low","Prix: Décroissant"
"Price: Low to high","Prix: Croissant"
"Privacy Policy","Politique de confidentiatlité"
"Product Name","Nom du produit"
"Product details","Détails du produit"
"Product details","Détails du produit"
"Productdetails","Détails du produit"
"Products","Produits"
"Purchase","Acheter"
"Qty","Qté"
"Quantity","Quantité"
"Read less","Lire moins"
"Read more","Lire plus"
"Register an account","Enregistrer un compte"
"Register now","Inscrivez-vous maintenant"
"Register with Facebook","Inscrivez-vous avec Facebook"
"Register","S'inscrire"
"Release date","Date de sortie"
"Remake order","Recommencer la commande"
"Remember me","Se souvenir de moi"
"Remove discount code","Retirer le code promo"
"Remove from compare","Retirer du comparatif"
"Remove","Retirer"
"Repeat new password *","Saisir de nouveau le mot de passe*"
"Repeat password","Saisir de nouveau le mot de passe"
"Request size","Demander la taille"
"Reset password","Réinitialiser le mot de passe"
"Resetting the password ...","Mot de passe en cours de réinitialisation"
"Return Instructions","Instructions pour les retours"
"Return Policy","Politique de retours"
"Return to log in","Retour à la page de connexion"
"Return to shopping","Retour au shopping"
"Returns","Retours"
"Review order","Laissez un avis sur votre commande"
"Review order","Laissez un avis sur votre commande"
"Review your order #{orderId}","Laissez un avis sur votre commande #{orderId}"
"Review","Avis"
"Reviewrating: 1","1 - Ehhhw!"
"Reviewrating: 2","2 - Non, oui non, pourquoi pas."
"Reviewrating: 3","3 - Assez bien"
"Reviewrating: 4","4 - Vraiment bien"
"Reviewrating: 5","5 - Génial"
"Reviews","Avis"
"SKU","SKU"
"Safety","Sécurité"
"Sale","Promotion"
"Save address","Sauvegarder l'adresse"
"Search","Rechercher"
"Searched term should consist of at least 3 characters.","Merci d'entrer au minimum 3 caractères pour votre recherche"
"See details","Voir les détails"
"See our bestsellers","Voir no best-sellers"
"Select No","Choisir Non"
"Select Yes","Choisir Oui"
"Select color","Choisir la couleur"
"Select size","Choisir la taille"
"Ship to my default address","Envoyer à mon adresse par défaut"
"Shipment tracking","Suivi de colis"
"Shipping address","Adresse d'expédition"
"Shipping method","Méthode d'expédition"
"Shipping","Expédition"
"Shopping cart","Panier"
"Shopping summary","Résumé de votre shopping"
"Show less","Montrer moins"
"Show subcategories","Montrer les sous-catégories"
"Sign up to our newsletter and receive a coupon for 10% off!","Inscrivez-vous à notre newsletter et recevez un code réduction de 10%!"
"Similar bands:","Groupes similaires:"
"Similar products","Articles similaires:"
"Similar products","Articles similaires:"
"Size Chart","Grille des tailles"
"Size guide","Guide des tailles"
"Size requested","Taille recommandée"
"Size","Taille"
"Size","Taille"
"Something went wrong ...","Une erreur est survenue..."
"Sorry  but you don't have any orders yet. ","Désolé mais vous n'avez pas encore passé de commande."
"Sorry but this competition is already over. ","Désolé mais ce concours est déjà terminé."
"Sort by","Trier par"
"Special Offer","Offre Spéciale"
"State / Province","Région"
"Status","Statut"
"Store locator","Localisation de boutique"
"Street *","Rue*"
"Street","Rue"
"Subscribe to the newsletter and receive a coupon for 10% off","Inscrivez-vous à notre newsletter et recevez un code réduction de 10%!"
"Subscribe","Inscrivez-vous"
"Subtotal","Total"
"Swap navigation","Changer de navigation"
"Switch store","Changer de boutique"
"Tax ID *","Numéro de TVA*"
"Tax ID must have at least 3 letters.","Le numéro de TVA doit comporter au moins 3 lettres"
"Tax identification number *","Numéro de TVA*"
"Tax identification number must have at least 3 letters.","Le numéro de TVA doit comporter au moins 3 lettres"
"Tax","TVA"
"Telephone","Téléphone"
"Terms and Conditions","Modalités"
"Thank you for your purchase!","Merci pour votre achat!"
"Thank you","Merci"
"Thank you. We successfully received your data and will inform you about further steps.","Merci. Nous avons enregistrés vos informations avec succès et vous tiendrons informé(e) de la prochaine étape."
"The model","Le modèle"
"The new account will be created with the purchase. You will receive details on e-mail.","Votre nouveau compte sera créé au moment de votre achat. Vous recevrez les informations par e-mail."
"The server order id has been set to","ID de commande du serveur réglé sur"
"There are no addresses yet.","Il n'y a pas encore d'adresse."
"There was an error while removing your coupon code. Please try again.","Une erreur est survenue pendant le retrait du code réduction. Merci d'essayer à nouveau."
"There was an unexpected error. Please check your entered data and try again.","Une erreur inatendue est survenue. Merci de vérifier à nouveau vos informations et essayez à nouveau."
"These are your recent orders. Click for more details and options.","Voici vos dernières commandes. Cliquez pour obtenir plus de détails et d'options."
"This is a merch product of the above-named band. We want to point out that the article description is a paraphrasing specification in consideration of the imprinted motif.","Il s'agit de merchandising du groupe susmentionné. Nous tenons à souligner que la description de l’article est une spécification compte tenu du motif imprimé."
"This is not a valid postcode. Format: {code}","Code postal non valide. Format: {code}"
"This isn't a valid field value.","Valeur incorrect pour ce champ"
"This product is out of stock.","Cet article est en rupture de stock."
"Toggle password visibility","Afficher le mot de passe"
"Track my order","Suivre ma commande"
"Type what you are looking for...","Entrez votre recherche"
"Type your opinion","Écrire votre avis"
"Type","Écrivez "
"Unfortunately we can't find the page you are looking for.","Nous n'avons malheureusement pas trouvé la page que vous recherchez."
"United States","États-Unis"
"Unset {{label}} filter","Retirer le filtre {{label}}"
"Update my preferences","Mettre à jour mes préférences"
"Update my profile","Mettre à jour mon profile"
"Update my shipping details","Mettre à jour on adresse de livraison"
"Use a valid date.","Utilisez une date valide."
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de livraison par défaut"
"Use my billing data","Utiliser mes informations de livraison"
"Use my company's address details","Utiliser l'adresse de ma société"
"Use my company's address details","Utiliser l'adresse de ma société"
"VAT number","Numéro de TVA"
"Value","Price"
"View all {department}","Voir tous/toutes les {department}"
"View all","Voir tout"
"View order","Voir ma commande"
"We are going to reach out to you as soon as possible.","Nous reviendrons vers vous dès que possible."
"We are sorry you failed multiple times. You can contact our support for help.","Vous avez effectué trop de tentatives infructueuses. Nous vous invitons à contacter notre service client."
"We are using cookies to give you the best experience on our site.","nous utilisons des cookies pour vous garantir la meilleure expérience sur notre site."
"We can't find the page","Page introuvable."
"We found other products you might like","Voici d'autres produits que vous pourriez aimer"
"We will send you details regarding the order","Nous allons vous envoyer les détails concernant votre commande"
"We will send you the invoice to given e-mail address","Nous enverrons la facture à l'adresse e-mail fournie"
"We've noticed Internal Server Error while rendering this request.","Nous avons remarqué une erreur interne de serveur lors de votre requête."
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Les instructions pour changer votre mot de passe ont été evoyées par email, cliquez sur le lien inclus dans ce dernier."
"What we can improve?","Que pouvons-nous améliorer?"
"Which size fits me?","Quelle taille choisir?"
"Wishlist","Liste d'envies"
"Women fashion","Mode Femme"
"Write a product review of your last orders products.","Laissez un avis sur les derniers produits que vous avez commandés."
"Write a review and get a {voucher} voucher!","Laissez un avis et recevez un {voucher} bon d'achat!"
"You are logged in as","Connecté en tant que"
"You are offline","Hors-line"
"You aren't subscribed to any product alerts.","Vous n'êtes inscrit(e) à aucune alerte produit"
"You can also use {link} to find anything you were looking for.","Vous pouvez également utiliser {link} pour trouver ce que vous chercher."
"You can find us on","Retrouvez nous sur"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data","Vous pouvez vous connecter à votre compte en utilisant l'adresse e-mail et le mot de passe définis précédemment. Vous pouvez modifier vos informations sur votre compte."
"You can manage your subscription in your {account-settings}.","Modifiez vos inscriptions dans vos {paramètres}."
"You have been successfully subscribed to our newsletter!","Vous avez été inscrit(e) à notre newsletter avec succès!"
"You have been successfully unsubscribed from our newsletter!","Vous avez été désinscrit(e) de notre newsletter avec succès!"
"You have no items to compare.","Aucun article au comparateur."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Votre commande a été passée avec succès. Vous pouvez suivre sont statut en utilisant notre outil <b>suivi d'envoi</b>. Vous recevrez un mail de confirmation d'expédition contenant toutes les informations relatives à votre commande et le lien de suivi."
"You may like these too","Vous aimerez peut-être également"
"You must accept the terms and conditions.","Vous devez acceptez nos conditions générales"
"You successfully subscribed yourself to this products stock notifications. You will receive updates about this product in future.","Vous vous êtes inscrits aux notifications de réassort pour ce produit. Vous recevrez ultérieurement des mises à jour pour cet article."
"You successfully unsupscripted for this stock notification.","Vous vous êtes désinscrit(e) avec succès des alertes de réassort."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous recevrez un mail de confirmation contenant toutes les informations relatives à votre commande et le lien pour suivre son évolution."
"You're logged out","Vous êtes déconnecté(e)"
"You're subscribed to the following products and will be notified as soon as they are back in stock.","Vous êtes inscrit(e) aux produits suivants et serez averti(e) dès qu'ils seront à nouveau en stock."
"You've entered an incorrect coupon code. Please try again.","Vous avez entré un code réduction incorrect. Merci d'essayer à nouveau."
"You've entered an incorrect coupon code. Please try again.","Vous avez entré un code réduction incorrect. Merci d'essayer à nouveau."
"Your Account","Votre compte"
"Your Google reCAPTCHA validation is invalid.","Le CAPTCHA google est erroné."
"Your account","votre compte"
"Your coupon has been removed.","votre code réduction a été enlevé."
"Your coupon has been successfully applied.","Votre code réduction a été appliqué avec succès."
"Your email address","Votre adresse email"
"Your feedback is important for us. Let us know what we could improve.","Votre opinion a de l'importance pour nous. Dites nous ce que nous pouvons améliorer."
"Your order has been received.","Votre commande a bien été enregistrée."
"Your order-number is:","Votre numéro de commande est le:"
"Your purchase","Votre achat"
"Your revocation is now in progress.","Annulation en cours."
"Your shopping cart is empty.","Votre panier est vide."
"Your wishlist is empty.","Votre liste d'envies est vide."
"Zip-code *","Code postal*"
"Zip-code must have at least 3 letters.","Le code postal doit contenir au moins 3 caractères"
"Zip-code","Code postal"
"account settings","Paramètres du compte"
"as low as","Prix spécial"
"browse our catalog","Parcourir notre catalogue"
"color","couleur"
"excl.","excl."
"incl.","incl."
"items per page","Articles par page"
"items","Articles"
"login","connexion"
"or write to us through","ou écrivez nous via"
"or","ou"
"orderStatus_canceled","statut de commande_annulée"
"orderStatus_complete","statut de commande_complete"
"orderStatus_pending","statut de commande_en attente"
"orderStatus_preorder","statut de commande_précommande"
"orderStatus_processing","statut de commande_en cours de traitement"
"our search","notre recherche"
"search","chercher"
"size","taille"
"to find something beautiful for You!","trouver quelque chose de beau pour vous!"
"{count} items","{count} articles"
"{incl} {rate}% VAT","{incl} {rate}TVA%"
"{incl} {rate}% VAT, Excl. shipping","TVA à {incl} {rate}%, hors frais de port"
"{name} is {height} tall and wears size {size}.","{name} mesure {height} et porte du {size}."
