","Den här tävlingen är redan över"
","men du har inga beställningar än"
"About us (Magento CMS)","Om oss (Magento CMS)"
"Get inspired","Bli inspirerad"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Skaffa Impericons nyhetsbrev och få en gåva på 50 SEK"
"Get your 5€ Voucher","Få din värdekupong på 50 SEK"
"Give a feedback","Ge feedback"
"Go review the order","Recenscera beställningen"
"Go to Facebook","Gå till Facebook"
"Go to Instagram","Gå till Instagram"
"Go to Pinterest","Gå till Pinterest"
"Go to Youtube","Gå till YouTube"
"Go to checkout","Gå till utcheckning"
"Help","Hjälp"
"Hi {firstname}","Hej {förnamn}"
"Home","Hem"
"House/Apartment number *","Hus/Lägenhetsnummer *"
"House/Apartment number","Hus/Lägenhetsnummer"
"How did you like it?","Hur tyckte du om det?"
"I accept terms and conditions","Jag accepterar villkor och förhållanden"
"I accept","Jag accepterar"
"I agree to","Jag accepterar att"
"I have a company and want to receive an invoice for every order","Jag har ett företag och vill ta emot en faktura för varje beställning"
"I have read and agree with the {terms}","{policy} och {tillbaka}."
"I want to create an account","Jag vill skapa ett konto"
"I want to create an account'","Jag vill skapa ett konto'"
"I want to generate an invoice for the company","Jag vill skapa en fakturera för ett företag"
"I want to receive a newsletter","Jag vill ta emot ett nyhetsbrev"
"I want to receive a newsletter","och godkänna dess villkor"
"If you need assistance you can drop {link}.","Om du behöver hjälp kan du skriva till {link}."
"In sale","På rea"
"In stock & shippable","I lager och leveransbar"
"Instant Checkout","Direkt checkout"
"Internal Server Error 500","Internal Server Error 500"
"Invalid characters.","Ogiltigt tecken"
"Italian","Italiensk"
"Italy","Italien"
"Items ordered","Beställda varor"
"Kidswear","Barnkläder"
"Last name","Efternamn"
"Last update","Sista uppdatering"
"Latest","Senast"
"Latest","Senast"
"Leave us a 50 words review and win one of three {voucher} vouchers each month.","Lämna en recension på 50 ord och vinn en av de kuponer varje månad"
"Legal notice","Legal notice"
"Load more","Ladda mer"
"Log in to your account","Logga in på ditt konto"
"Log in","Logga in"
"Login to your account","Logga in på ditt konto"
"Login with Facebook","Logga in på Facebook"
"Logout of Facebook","Logga ut från Facebook"
"Logout","Logga ut"
"Magazine","Magasin"
"Male","Man"
"Men's fashion","Mäns mode"
"More info's","Mer info"
"My Account","Mitt konto"
"My Recently viewed products","Mina senast sedda produkter"
"My account","Mitt konto"
"My addresses","Mina adresser"
"My addresses","Mina adresser"
"My coupons","Mina kuponer"
"My loyalty card","Mitt lojalitetskort"
"My newsletter","Mitt nyhetsbrev"
"My order","Min order"
"My orders","Mina beställningar"
"My product reviews","Mina produktrecensioner"
"My product-alerts","Mina produktalarm"
"My profile","Min profil"
"Name must have at least 2 letters.","Namn måste ha minst 2 bokstäver"
"Name must have at least 3 letters.","Namn måste ha minst 3 bokstäver"
"New Luma Yoga Collection","Ny Luma Yoga-kollektion"
"New address","Ny adress"
"New password *","Nytt lösenord*"
"New","Ny"
"Newsletter","Nyhetsbrev"
"No informations","Ingen information"
"No orders yet","Inga beställningar än"
"No products found!","Inga produkter funna! "
"No products yet","Inga produkter än"
"No results found","Inga resultat"
"No results were found.","Inga resultat hittades"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","Inga recensioner har publicerats än. Tveka inte att dela Din åsikt och skriv din första recension'1"
"Not available in time","Inte tillgänglig i tid"
"Not yet an account?","Har du inte ett konto än?"
"Notice","Observera"
"Oh great, you are already subscribed","Du har redan prenumererat"
"Onesize","Onesize"
"Only a few left","Endast ett fåtal kvar"
"Only alphanumeric characters are allowed.","Endast alfanumeriska tecken är tillåtna"
"Open menu","Öppen meny"
"Open microcart","Öppen microcart"
"Open my account","Öppna mitt konto"
"Open search panel","Öppna sökpanel"
"Open wishlist","Öppna önskelistan"
"Order ID","Beställnings-ID"
"Order Summary","Ordersammanfattning"
"Order confirmation","Orderbekräftelse"
"Order","Order"
"Order-Review","Recension av order"
"Orders","Beställningar"
"Our {department}","Vår (avdelning)"
"Participate now!","Delta nu! "
"Password has successfully been changed","Lösenordet har blivit ändrat"
"Password must have at least 8 letters.","Lösenordet måste innehålla minst 8 bokstäver"
"Password","Lösenord"
"Passwords must be identical","Lösenorden måste vara identiska"
"Passwords must be identical.","Lösenorden måste vara identiska"
"Payment method","Betalningsmetod"
"Payment","Betalning"
"Payments & Shipping","Betalning och frakt"
"Pcs.","Pcs."
"Personal Details","Personlig information"
"Phone Number","Telefonnummer"
"Phone number may be needed by carrier","Telefonnummer kommer kanske behövas av budet"
"Place the order","Lägg beställningen"
"Please change Your search criteria and try again.","Vänligen ändra din sökbeskrivning och försök igen"
"Please check if all data are correct","Vänligen kontrollera att all data är korrekt"
"Please confirm order you placed when you was offline","Vänligen bekräfta ordern du lade när du var offline"
"Please provide valid e-mail address.","Vänligen skriv in gilig e-mailadress"
"Please try again or contact our customer-support.","Vänligen försök igen eller kontakta vår kundservice"
"Please wait","Vänligen vänta"
"Postcode","Postkod"
"Price (High to low)","Pris (Högt till lågt)"
"Price (Low to high)","Pris (Lågt till högt)"
"Price","Pris"
"Price","Pris"
"Price: High to low","Pris: Högt till lågt"
"Price: Low to high","Pris: Lågt till högt"
"Privacy Policy","Integritetspolicy "
"Product Name","Produktnamn"
"Product details","Produktdetaljer"
"Product details","Produktdetaljer"
"Productdetails","Produktdetaljer"
"Products","Produkter"
"Purchase","Köp"
"Qty","Qty"
"Quantity","Kvantitet"
"Read less","Läs mindre"
"Read more","Läs mer"
"Register an account","Registrera ett konto"
"Register now","Registrera nu "
"Register with Facebook","Registrera med Facebook"
"Register","Registrera"
"Release date","Releasedatum"
"Remake order","Gör om order"
"Remember me","Kom ihåg mig"
"Remove discount code","Ta bort rabattkod"
"Remove from compare","Ta bort från jämför"
"Remove","Ta bot"
"Repeat new password *","Repetera nytt lösenord"
"Repeat password","Repetera lösenord"
"Request size","Begär storlek"
"Reset password","Återställ lösenord"
"Resetting the password ...","Återställer lösenord..."
"Return Instructions","Instruktioner för retur"
"Return Policy","Policy för retur"
"Return to log in","Återgå till logga in"
"Return to shopping","Återgå till shopping"
"Returns","Returer"
"Review order","Recensera ordern"
"Review order","Recensera ordern"
"Review your order #{orderId}","Recensera ordern #{orderId}"
"Review","Recension"
"Reviewrating: 1","1 - Ehhhw!"
"Reviewrating: 2","2 - Nja, ja-nej, varför inte."
"Reviewrating: 3","3 - Ganska bra"
"Reviewrating: 4","4 - Väldigt bra"
"Reviewrating: 5","5 - Awesome"
"Reviews","Recensioner"
"SKU","SKU"
"Safety","Säkerhet"
"Sale","Rea"
"Save address","Spara address"
"Search","Sök"
"Searched term should consist of at least 3 characters.","Sökord måste bestå av minst 3 tecken"
"See details","Se detaljer"
"See our bestsellers","Se våra bästsäljare"
"Select No","Välj Nej"
"Select Yes","Välj Ja"
"Select color","Välj färg"
"Select size","Välj storlek"
"Ship to my default address","Skicka till min standardaddress"
"Shipment tracking","Spårning av Frakt"
"Shipping address","Fraktaddress"
"Shipping method","Fraktmetod"
"Shipping","Frakt"
"Shopping cart","Kundkorg"
"Shopping summary","Sammanfattning av shopping"
"Show less","Visa mindre"
"Show subcategories","Visa underkategorier"
"Sign up to our newsletter and receive a coupon for 10% off!","Prenumerera på vårt nyhetsbrev och få en kupong på 10% rabatt!"
"Similar bands:","Liknande band:"
"Similar products","Liknande produkter"
"Similar products","Liknande produkter"
"Size Chart","Storlekskarta"
"Size guide","Storleksguide"
"Size requested","Begärd storlek"
"Size","Storlek"
"Size","Storlek"
"Something went wrong ...","Något gick fel..."
"Sorry  but you don't have any orders yet.
"Sorry but this competition is already over.
"Sort by","Sortera med"
"State / Province","Land / region"
"Status","Status"
"Store locator",""
"Street *","Gata * "
"Street","Gata "
"Subscribe to the newsletter and receive a coupon for 10% off","Prenumerera på nyhetsbrevet och få en rabattkupong på 10%!"
"Subscribe","Prenumerera "
"Subtotal","Delsumma"
"Swap navigation","Byt navigation"
"Switch store","Byt butik"
"Tax ID *","Skatteregistreringsnummer*"
"Tax ID must have at least 3 letters.","Skatteregistreringsnummer måste innehålla minst 3 tecken"
"Tax identification number *","Skatteregistreringsnummer *"
"Tax identification number must have at least 3 letters.","Skatteregistreringsnummer måste innehålla minst 3 tecken"
"Tax","Skatt"
"Telephone","Telefon"
"Terms and Conditions","Villkor och förutsättningar"
"Thank you for your purchase!","Tack för ditt köp"
"Thank you","ditt email har blivit skickat"
"Thank you. We successfully received your data and will inform you about further steps.","Tack. Vi har tagit emot din information och kommer informera dig om nästa steg. "
"The model","Modellen"
"The new account will be created with the purchase. You will receive details on e-mail.","Det nya kontot kommer skapas i samband med köpet. Du kommer ta emot information via email"
"The server order id has been set to","Serverorder-ID har skickats till"
"There are no addresses yet.","Det finns ingen address än"
"There was an error while removing your coupon code. Please try again.","Det uppstod ett fel då din kupongkod togs bort. Vänligen försök igen."
"There was an unexpected error. Please check your entered data and try again.","Det uppstod ett oväntat fel. Vänligen kontrollera den inskrivna informationen och försök igen."
"These are your recent orders. Click for more details and options.","Det här är dina senaste beställningar. Klicka för mer detaljer och information."
"This is a merch product of the above-named band. We want to point out that the article description is a paraphrasing specification in consideration of the imprinted motif.","Det här är en merchprodukt av ovannämnda band. Vi vill påpeka att artikelbeskrivningen är en omskrivning i hänsyn till det tryckta motivet"
"This is not a valid postcode. Format: {code}","Det här är inte en giltig postkod. Format: (kod)"
"This isn't a valid field value.","Det här är inte ett giltigt fältvärde"
"This product is out of stock.","Den här produkten är slut"
"Toggle password visibility","Byt synlighet av lösenord"
"Track my order","Spåra min order"
"Type what you are looking for...","Skriv vad du letar efter..."
"Type your opinion","Skriv din åsikt"
"Type","Skriv"
"Unfortunately we can't find the page you are looking for.","Tyvärr kan vi inte hitta sidan du letar efter"
"United States","USA / Förenta staterna"
"Unset {{label}} filter","Återställ {{label}} filter"
"Update my preferences","Uppdatera mina preferenser"
"Update my profile","Uppdatera min profil"
"Update my shipping details","Uppdatera mina fraktdetaljer"
"Use a valid date.","Använd ett giltigt datum"
"Use as my default billing address","Använd min standard fraktaddress"
"Use as my default shipping address","Använd som min standard fraktaddress"
"Use my billing data","Använd min faktureringinformation"
"Use my company's address details","Använd mitt företags addressinformation"
"Use my company's address details","Använd mitt företags addressinformation"
"VAT number","Skattenummer"
"Value","Värde"
"View all {department}","Se alla (avdelning)"
"View all","Se alla"
"View order","Se ordern"
"We are going to reach out to you as soon as possible.","Vi kommer nå ut till dig så snart som möjligt"
"We are sorry you failed multiple times. You can contact our support for help.","Vi är ledsna att meddela att du misslyckades flera gånger. Du kan kontakta vår support för hjälp."
"We are using cookies to give you the best experience on our site.","Vi använder cookies för att ge dig den bästa upplevelsen av vår sida."
"We can't find the page","Vi kan inte hitta sidan"
"We found other products you might like","Vi hittade andra produkter vi tror du kommer gilla"
"We will send you details regarding the order","Vi kommer skicka detaljr kring din order"
"We will send you the invoice to given e-mail address","Vi kommer skicka en faktura till den angivna emailaddressen"
"We've noticed Internal Server Error while rendering this request.","Vi har noterat ett internt serverproblem vid den här begäran"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Vi har skickat instruktioner om lösenordsåterställning till din email. Kontrollera din inkorg och följ länken."
"What we can improve?","Vad kan vi förbättre?"
"Which size fits me?","Vilken storlek passar mig?"
"Wishlist","Önskelista"
"Women fashion","Mode för kvinnor"
"Write a product review of your last orders products.","Skriv en produktrecension av dina senaste beställda produkter"
"Write a review and get a {voucher} voucher!","Skriv en recension och få en värdekupong"
"You are logged in as","Du är inloggad som"
"You are offline","vissa av funktionerna är begränsade"
"You aren't subscribed to any product alerts.","Du har inte prenumererat till någon av våra produktalarm"
"You can also use {link} to find anything you were looking for.","Du kan också använda {link} för att hitta vad du än letar efter"
"You can find us on","Du kan hitta oss på"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data","</b> kontrollera  <b>föregående transaktioner"
"You can manage your subscription in your {account-settings}.","Du kan hantera din prenumeration i din {account-settings}."
"You have been successfully subscribed to our newsletter!","Du har prenumererat till vårt nyhetsbrev! "
"You have been successfully unsubscribed from our newsletter!","Du har avprenumererat vårt nyhetsbrev! "
"You have no items to compare.","Du har inga produkter att jämföra med"
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Du har lagt en order. Du kan följa status för din order genom att använda vår  <b>delivery status</b> feature. Du kommer ta emot en orderbekräftelse via mail med detaljer kring din order och en länk för att spåra den"
"You may like these too","Du kanske gillar de här också"
"You must accept the terms and conditions.","Du måste acceptera villkor och förutsättningar"
"You successfully subscribed yourself to this products stock notifications. You will receive updates about this product in future.","Du har prenumererat till den här produktens lagerstatus. Du kommer ta emot uppdateringar om den här produkten i framtiden."
"You successfully unsupscripted for this stock notification.","Du har avprenumererat till den här produktens lagerstatus. "
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer ta emot ett bekräftelsemail med detaljer om din order med en länk för att spåra den."
"You're logged out","Du är utloggad"
"You're subscribed to the following products and will be notified as soon as they are back in stock.","Du har prenumererat till de följande produkterna och kommer bli underrättad så snart de är tillbaka i lager"
"You've entered an incorrect coupon code. Please try again.","Du har skrivit in en ogiltig kupongkod. Vänligen försök igen."
"You've entered an incorrect coupon code. Please try again.","Du har skrivit in en ogiltig kupongkod. Vänligen försök igen."
"Your Account","Ditt Konto"
"Your Google reCAPTCHA validation is invalid.","Din Google reCAPTCHA validering är ogiltig"
"Your account","Ditt Konto"
"Your coupon has been removed.","Din kupong har tagits bort"
"Your coupon has been successfully applied.","Din kupong har blivit mottagen"
"Your email address","Din emailadress"
"Your feedback is important for us. Let us know what we could improve.","Din feedback är viktig för oss. Låt oss veta vad vi kan förbättre."
"Your order has been received.","Din order är mottagen"
"Your order-number is:","Ditt ordernummer är"
"Your purchase","Ditt köp"
"Your revocation is now in progress.","Din återkallelese är nu under process"
"Your shopping cart is empty.","Din kundkorg är tom"
"Your wishlist is empty.","Din önskelista är tom"
"Zip-code *","Postnummer *"
"Zip-code must have at least 3 letters.","Postnummer måste innehålla minst 3 tecken"
"Zip-code","Postnummer"
"account settings","Kontoinställningar"
"as low as","Så lågt som"
"browse our catalog","sök i vår katalog"
"color","färg"
"excl.","exkl."
"incl.","inkl."
"items per page","Produkter per sida"
"items","Produkter "
"login","inlogg"
"or write to us through","eller skriv till oss genom"
"or","eller"
"orderStatus_canceled","avbeställd"
"orderStatus_complete","fraktad"
"orderStatus_pending","Väntande"
"orderStatus_preorder","Förbeställ"
"orderStatus_processing","Processar"
"our search","vår sökning"
"search","sök"
"size","storlek"
"to find something beautiful for You!","för att hitta något vackert till Dig!"
"us a line here","använd en linje här"
"{count} items","{count} varor"
"{incl} {rate}% VAT","Exkl. frakt"
"{name} is {height} tall and wears size {size}.","{name} är {height} lång och har på sig storlek {size}."
