"About us (Magento CMS)","Über uns (Magento CMS)"
"Product details","Produktdetails"
"Product details","Produktdetails"
"Productdetails","Produktdetails"
"Purchase","Kaufen"
"Qty","Mg."
"Quantity","Menge"
"Read less","Weniger lesen"
"Read more","Mehr lesen"
"Register now","Jetzt registrieren"
"Register with Facebook","Mit Facebook registrieren"
"Register","Registrieren"
"Release date","Release-Datum"
"Remake order","Nachbestellen"
"Remember me","Eingeloggt bleiben"
"Remove from compare","Von Vergleichsliste entfernen"
"Remove","Entfernen"
"Repeat new password","Neues Passwort wiederholen"
"Repeat password","Passwort wiederholen"
"Request size","Größe anfordern"
"Reset password","Passwort zurücksetzen"
"Resetting the password ... ","Passwort wird zurückgesetzt ... "
"Return Instructions","Rückgaberichtlinien"
"Return Policy"," Rückgaberichtlinien"
"Return to log in","Zurück zur Anmeldung"
"Return to shopping","Zurück zum Shop"
"Returns","Retouren"
"Review order","Bestellung überprüfen"
"SKU","SKU"
"Safety","Sicherheit"
"Sale","Angebote"
"Save address","Adresse speichern"
"Search","Suche"
"Searched term should consist of at least 3 characters.","Der Suchbegriff sollte mindestens 3 Zeichen haben."
"See details","Details anzeigen"
"See our bestsellers","Sehen Sie sich unsere Bestseller an"
"Select No","Wähle Nein"
"Select Yes","Wähle Ja"
"Select color ","Farbe wählen "
"Select size ","Größe wählen "
"Ship to my default address","An meine Standardadresse senden"
"Shipment tracking","Sendungsverfolgung"
"Shipping address","Versandadresse"
"Shipping method","Versandart"
"Shipping","Versand"
"Shopping cart","Warenkorb"
"Shopping summary","Zusammenfassung des Einkaufs"
"Show less","Weniger anzeigen"
"Show subcategories","Unterkategorien anzeigen"
"Sign up to our newsletter and receive a coupon for 10% off!","Melde dich für unseren Newsletter an und erhalte einen Rabattgutschein in Höhe von 10%!"
"Similar bands:","Ähnliche Bands:"
"Similar products","Ähnliche Produkte"
"Size Chart","Größentabellen"
"Size guide","Größentabelle"
"Size requested","Größe angefordert"
"Something went wrong ...","Etwas ist schief gegangen..."
"Sort by","Sortieren nach"
"State / Province","Bundesland"
"Status","Status"
"Store locator","Händlersuche"
"Street name *","Straße *"
"Street name","Straße"
"Subscribe to the newsletter and receive a coupon for 10% off","Abonniere unseren Newsletter und erhalte einen Rabattgutschein in Höhe von 10%"
"Subscribe","Abonnieren"
"Subtotal","Zwischensumme"
"Swap navigation","Navigation anzeigen"
"Switch store","Store wechseln"
"Tax ID *","Steuer ID *"
"Tax ID must have at least 3 letters.","Die Steuer ID muss aus mindestend 3 Zeichen bestehen."
"Tax identification number *","Steuer-Identifikationsnummer *"
"Tax identification number must have at least 3 letters.","Die Steuer-Identifikationsnummer muss aus mindestens 3 Zeichen bestehen."
"Tax","Steuer"
"Telephone","Telefonnummer"
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"The model","Das Model"
"The new account will be created with the purchase. You will receive details on e-mail.","Das neue Konto wird mit dem Abschluss der Bestellung erstellt. Weitere Details werden Ihnen per E-Mail zugesendet."
"The server order id has been set to ","Die Server-Bestellnummer wurde gesetzt auf "
"There are no addresses yet.","Du hast noch keine Adressen angelegt."
"There was an unexpected error. Please check your entered data and try again.","Ein unerwarteter Fehler ist aufgetreten. Bitte überprüfe deine Eingabe und versuche es erneut."
"This is a merch product of the above-named band. We want to point out that the article description is a paraphrasing specification in consideration of the imprinted motif.","Dies ist ein Merchandiseartikel der oben genannten Band. Wir möchten darauf hinweisen, dass es sich bei der Artikelbezeichnung um beschreibende Angaben hinsichtlich des abgedruckten Motivs handelt."
"This is not a valid postcode. Format: {code}","Das ist keine gültige Postleitzahl. Format: {code}"
"This product is out of stock.","Das Produkt ist nicht mehr auf Lager."
"Toggle password visibility","Sichtbarkeit des Passwortes umschalten"
"Track my order","Meine Bestellung verfolgen"
"Type what you are looking for...","Gib ein, wonach du suchen möchtest ..."
"Type your opinion","Schreiben Sie Ihre Meinung"
"Type","Typ"
"Unfortunately we can't find the page you are looking for.","Leider kann die von Ihnen gesuchte Seite nicht gefunden werden."
"United States","Vereinigte Staaten"
"Unset {{label}} filter","{{label}} Filter entfernen"
"Update my preferences","Einstellungen aktualisieren"
"Update my profile","Mein Konto aktualisieren"
"Update my shipping details","Meine Versanddetails aktualisieren"
"Use a valid date.","Datum inkorrekt"
"Use as my default billing address","Als Standard-Rechnungsadresse verwenden"
"Use as my default shipping address","Als Standard-Versandsadresse verwenden"
"Use my billing data","Meine Rechnungsdaten verwenden"
"Use my company's address details","Bitte die Unternehmensanschrift verwenden"
"Use my company's address details","Verwenden Sie die Adressdaten meiner Firma"
"VAT number","Umsatzsteuer-ID"
"Value","Wert"
"View all {department}","Alle {department} ansehen"
"View all","Alle ansehen"
"View order","Bestellung ansehen"
"We are sorry you failed multiple times. You can contact our support for help.","Entschuldige, es hat schon wieder nicht geklappt. Kontaktiere unseren Kundenservice wenn du Hilfe brauchst."
"We are using cookies to give you the best experience on our site.","Wir benutzen Cookies um dir das bestmögliche Shoppingerlebnis zu liefern."
"We can't find the page","Die Seite kann nicht gefunden werden"
"We found other products you might like","Wir haben andere Produkte gefunden, die Sie interessieren könnten"
"We will send you details regarding the order","Wir senden Ihnen Details bezüglich Ihrer Bestellung zu"
"We will send you the invoice to given e-mail address","Wir senden Ihnen die Rechnung an die angegebene E-Mail-Adresse"
"We've noticed Internal Server Error while rendering this request.","Bei der Verarbeitung Ihrer Anfrage gab es einen internen Fehler."
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Wir haben Ihnen eine Anleitung zum Zurücksetzen des Passworts an Ihre E-Mail-Adresse gesendet. Bitte überprüfen Sie Ihren Posteingang und folgen Sie dem Link."
"What we can improve?","Was können wir verbessern?"
"Which size fits me?","Welche Größe passt mir?"
"Wishlist","Wunschliste"
"Women fashion","Damenmode"
"Write a review and get a {voucher} voucher!","Jetzt Produkte bewerten & {voucher} Gutschein gewinnen!"
"You are logged in as","Sie sind eingeloggt als"
"You are offline, some of the functionalities are limited","Sie sind offline. Einige Funktionen sind daher nur eingeschränkt nutzbar"
"You can also use","Sie können auch"
"You can find us on","Du findest uns auch hier"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","Sie können sich mit Ihrer angegebenen E-Mail-Adresse und Ihrem Passwort in Ihrem Konto anmelden. In Ihrem Konto können Sie Ihr <b>Profil bearbeiten</b>, Ihren <b>Transaktionsverlauf prüfen</b>und Ihre <b>Newsletteranmeldung bearbeiten.</b>"
"You can manage your subscription in your {account-settings}.","Dein Abo kannst du jederzeit in deinen {account-settings} verwalten."
"You have been successfully subscribed to our newsletter!","Geschafft, deine Anmeldung war erfolgreich!"
"You have been successfully unsubscribed from our newsletter!","Deine Abmeldung war erfolgreich."
"You have no items to compare.","Es gibt keine Artikel zum Vergleichen."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Sie haben erfolgreich eine Bestellung abgegeben. Sie können den Status Ihrer Bestellung abrufen, indem Sie unser <b>Lieferstatus</b>-Feature nutzen. Sie werden eine Bestellbestätigung per E-Mail erhalten mit den Details Ihrer Bestellung und einem Link zur Sendungsverfolgung."
"You must accept the terms and conditions.","Sie müssen die Allgemeinen Geschäftsbedingungen akzeptieren."
"You successfully subscribed yourself to this products stock notifications. You will receive updates about this product in future.","Du hast dich erfolgreich eingeschrieben und erhälst Updates sobald das Produkt wieder verfügbar ist."
"You're logged out","Du wurdest ausgeloggt"
"You've entered an incorrect coupon code. Please try again.","Sie haben einen falschen Coupon-Code eingegeben. Bitte versuchen Sie es erneut."
"Your Account","Ihr Account"
"Your Google reCAPTCHA validation is invalid.","Dein Google reCAPTCHA Validierung war nich erfolgreich."
"Your account","Dein Kundenkonto"
"Your email address","Deine Email Adresse"
"Your feedback is important for us. Let us know what we could improve.","Ihr Feedback ist wichtig für uns. Lassen Sie uns wissen, was wir verbessern können."
"Your purchase","Ihr Einkauf"
"Your shopping cart is empty.","Dein Warenkorb ist zur Zeit leer."
"Your wishlist is empty.","Deine Wunschliste ist zur Zeit leer."
"Zip-code *","Postleitzahl"
"Zip-code must have at least 3 letters.","Die Postleitzahl muss aus mindestens 3 Zeichen bestehen."
"Zip-code","Postleitzahl"
"a chat","den Chat"
"a contact page","die Kontaktseite"
"account settings","Konto-Einstellungen"
"as low as","ab"
"browse our catalog","durchsuchen Sie unseren Katalog,"
"color","Farbe"
"excl.","exkl."
"incl.","inkl."
"login","Login"
"or write to us through","oder schreiben Sie uns über"
"or","oder"
"search","die Suche"
"size","Größe"
"to find product you were looking for.","benutzen, um das gesuchte Produkt zu finden."
"to find something beautiful for You!","um etwas Schönes für Sie zu finden!"
"{count} items","{count} Produkte"
"{incl} {rate}% VAT, Excl. shipping","{incl} {rate}% MwSt., zzgl. Versandkosten"
"{name} is {height} tall and wears size {size}.","{name} ist {height} groß und trägt eine {size}."
