"About us (Magento CMS)","Sobre nosotros (Magento CMS)"
"E-mail address","Correo electrónico"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions","Sugerencias sobre cómo podríamos mejorar nuestro producto o la experiencia de compra"
"Edit newsletter preferences","Editar preferencias de newsletter"
"Edit payment","Editar pago"
"Edit personal details","Editar detalles personales"
"Edit profile","Editar perfil"
"Edit shipping","Editar envío"
"Edit your profile","Editar mi perfil"
"Edit your shipping details","Editar tus detalles de envío"
"Edit","Editar"
"Email address *","Correo electrónico *"
"Email address","Correo electrónico"
"Email has successfully been sent.","Tu email ha sido enviado satisfactoriamente."
"English","Inglés"
"Enter your email address. After submit you will receive an email with an reset-link.","Introduce tu dirección de correo electrónico. Después de haberlo introducido, recibirás un email con el link para reiniciar."
"Erin recommends","Erin recomiendas"
"Error while sending reset password e-mail","Error al enviar el email para reestablecer la contraseña"
"Error","Error"
"Everything new","Todo nuevo"
"Expires at","Caduca en"
"Extension developers would like to thank you for placing an order!","¡Los desarrolladores de la extensión quieren agradecerte el pedido!"
"Features","Características"
"Female","Mujer"
"Field is required","Campo requerido"
"Filter by categories","Filtrar por categorías"
"Filter by categories","Filtrar por categorías"
"Filter {label}","Filtrar {label}"
"Filter","Filtro"
"Filters","Filtros"
"First name","Nombre"
"Forgot the password?","¿Has olvidado la contraseña?"
"Forgot your house number?","¿Has olvidado el número de tu casa?"
"Gender","Género"
"General agreement","Acuerdo General"
"German","Alemán"
"Germany","Alemania"
"Get inspired","Inspírate"
"Get the Impericon Newsletter & and get yourself a 5€ gift.","Suscríbase y obtenga un descuento de 5 €."
"Get your 5€ Voucher","Consigue 5 € de descuento"
"Give a feedback","Envíanos tu opinión"
"Go review the order","Procede a revisar el pedido"
"Go to Facebook","Visitar Facebook"
"Go to Instagram","Visitar Instagram"
"Go to Pinterest","Visitar Pinterest"
"Go to Youtube","Visitar Youtube"
"Go to checkout","Proceder al pago"
"Help","Ayuda"
"Hi {firstname}","Hola {firstname}"
"Home","Casa"
"House/Apartment number *","Casa/Número de apartamento*"
"House/Apartment number","Casa/Número de apartamento"
"How did you like it?","¿Qué te ha parecido?"
"I accept terms and conditions","Acepto los términos y condiciones"
"I accept","Acepto"
"I agree to","Estoy de acuerdo con"
"I have a company and want to receive an invoice for every order","Tengo una empresa y quiero recibir una factura con cada pedido"
"I have read and agree with the {terms}","{política} y {devoluciones}."
"I want to create an account","Quiero crear una cuenta"
"I want to create an account'","Quiero crear una cuenta'"
"I want to generate an invoice for the company","Quiero generar una factura para mi compañía"
"I want to receive a newsletter","Quiero recibir una newsletter"
"I want to receive a newsletter","Quiero recibir una newsletter"
"If you need assistance you can drop {link}.","Si necesitas ayuda puedes dejar {link}."
"In sale","En rebaja"
"In stock & shippable","Existencias & disponible para enviar"
"Instant Checkout","Pago instantáneo"
"Internal Server Error 500","Error del Servidor Interno 500"
"Invalid characters.","Caracteres inválidos"
"Italian","Italiano"
"Italy","Italia"
"Items ordered","Productos pedidos"
"Kidswear","Ropa de niño"
"Last name","Apellidos"
"Last update","Última actualización"
"Latest","Lo último"
"Latest","Lo último"
"Leave us a 50 words review and win one of three {voucher} vouchers each month.","Gana uno de estos 3 vales de descuento con valor de {voucher} cada mes."
"Legal notice","Aviso Legal"
"Load more","Cargar Más"
"Log in to your account","Log in en tu cuenta"
"Log in","Log in"
"Login to your account","Login en tu cuenta"
"Login with Facebook","Login enFacebook"
"Logout of Facebook","Salir de Facebook"
"Logout","Logout"
"Magazine","Magazine"
"Male","Hombre"
"Men's fashion","Moda hombre"
"More info's","Más información"
"My Account","Mi cuenta"
"My Recently viewed products","Productos que he visto recientemente"
"My account","My cuenta"
"My addresses","Mis direcciones"
"My addresses","Mis direcciones"
"My coupons","Mis cupones"
"My loyalty card","Mi tarjeta de fidelidad"
"My newsletter","Mi newsletter"
"My order","Mi pedido"
"My orders","Mis pedidos"
"My product reviews","Mis reseñas de productos"
"My product-alerts","Mis alertas de producto"
"My profile","Mi perfil"
"Name must have at least 2 letters.","El nombre tiene que tener al menos 2 caracTeres"
"Name must have at least 3 letters.","El nombre tiene que tener al menos 3 caracTeres"
"New Luma Yoga Collection","Nueva Luma Yoga Collection"
"New address","Nueva dirección"
"New password *","Nueva contraseña *"
"New","Nuevo"
"Newsletter","Newsletter"
"No informations","No hay información"
"No orders yet","No hay pedidos aún"
"No products found!","¡No se han encontrado productos!"
"No products yet","No hay productos"
"No results found","No se encontraron resultados"
"No results were found.","No se encontraron resultados."
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","No se han escrito reseñas. ¡Por favor no dudes a la hora de compartir tu opinión y escribir la primera reseña!"
"Not available in time","No disponible a tiempo"
"Not yet an account?","¿Aún no tienes una cuenta?"
"Notice","Atención a la reserva de un producto (preorder)"
"Oh great","Ya estás suscrito"
"Onesize","Talla única"
"Only a few left","Solo quedan unas pocas existencias"
"Only alphanumeric characters are allowed.","Solo se permiten caracteres alfanuméricos."
"Open menu","Abrir menú"
"Open microcart","Abrir microcart"
"Open my account","Abrir mi cuenta"
"Open search panel","Abrir panel de búsqueda"
"Open wishlist","Abrir lista de deseos"
"Order ID","ID del pedido"
"Order Summary","Resumen del pedido"
"Order confirmation","Pedido de confirmación"
"Order","Pedido"
"Order-Review","Reseña-Pedido"
"Orders","Pedidos"
"Our {department}","Nuestro {departmento}"
"Participate now!","¡Participar ahora!"
"Password has successfully been changed","La contraseña ha sido cambiada satisfactoriamente"
"Password must have at least 8 letters.","La contraseña tiene que tener al menos 8 letras."
"Password","Contraseña"
"Passwords must be identical","La contraseña tiene que ser idénticas."
"Passwords must be identical.","Las contraseñas tienen que ser idénticas."
"Payment method","Método de pago"
"Payment","Pago"
"Payments & Shipping","Pagos y Envíos"
"Pcs.","Pcs."
"Personal Details","Detalles personales"
"Phone Number","Número de teléfono"
"Phone number may be needed by carrier","Número de teléfono para el repartidor."
"Place the order","Haz el pedido"
"Please change Your search criteria and try again.","Por favor cambia Tu criterio de búsqueda e inténtalo de nuevo."
"Please check if all data are correct","Por favor asegúrate de que todos los datos son correctos."
"Please confirm order you placed when you was offline","Por favor confirma el pedido que realizaste cuando estabas offline"
"Please provide valid e-mail address.","Por favor facilita una dirección de correo válida."
"Please try again or contact our customer-support.","Por favor intenta contactar a nuestro servicio de atención al cliente."
"Please wait","Por favor espera"
"Postcode","Código postal"
"Price (High to low)","Precio (de mayor a menor)"
"Price (Low to high)","Precio (de menor a mayor)"
"Price","Precio"
"Price","Precio"
"Price: High to low","Precio: de mayor a menor"
"Price: Low to high","Precio: de menor a mayor"
"Privacy Policy","Política de Privacidad"
"Product Name","Nombre de Producto"
"Product details","Detalles de producto"
"Product details","Detalles de producto"
"Productdetails","Detallesdeproducto"
"Products","Productos"
"Purchase","Compra"
"Qty","Qty"
"Quantity","Unidades"
"Read less","Ver menos"
"Read more","Ver más"
"Register an account","Registrar una cuenta"
"Register now","Registrar ahora"
"Register with Facebook","Registrar con Facebook"
"Register","Registrar"
"Release date","Fecha de lanzamiento"
"Remake order","Rehacer pedido"
"Remember me","Recuérdame"
"Remove discount code","Borrar código de descuento"
"Remove from compare","Borrar comparación"
"Remove","Borrar"
"Repeat new password *","Repetir nueva contraseña *"
"Repeat password","Repetir contraseña"
"Request size","Pedir talla"
"Reset password","Cambiar contraseña"
"Resetting the password ...","Reseteando la contraseña"
"Return Instructions","Instrucciones de devolución"
"Return Policy","Política de devoluciones"
"Return to log in","Retroceder para loguearse"
"Return to shopping","Retrodecer para comprar"
"Returns","Devoluciones"
"Review order","Haz una reseña de tu pedido"
"Review order","Haz una reseña de tu pedido"
"Review your order #{orderId}","Haz una reseña de tu pedido #{orderId}"
"Review","Reseña"
"Reviewrating: 1","1 - Ehhhw!"
"Reviewrating: 2","2 - Meh... bueno, no. No sé."
"Reviewrating: 3","3 - Bastante bien"
"Reviewrating: 4","4 - Muy bueno"
"Reviewrating: 5","5 - Espectacular"
"Reviews","Reseñas"
"SKU","SKU"
"Safety","Seguridad"
"Sale","Rebajas"
"Save address","Guardar dirección"
"Search","Buscar"
"Searched term should consist of at least 3 characters.","El término de búsqueda debería contener al menos 3 caracteres."
"See details","Ver detalles"
"See our bestsellers","Mira nuestros más vendidos"
"Select No","Selecciona No"
"Select Yes","Selecciona Sí"
"Select color","Selecciona color"
"Select size","Selecciona talla"
"Ship to my default address","Enviar a mi dirección por defecto"
"Shipment tracking","Seguimiento del envío"
"Shipping address","Dirección de envío"
"Shipping method","Método de envío"
"Shipping","Envío"
"Shopping cart","Carrito"
"Shopping summary","Resumen de compra"
"Show less","Mostrar menos"
"Show subcategories","Mostrar subcategorías"
"Sign up to our newsletter and receive a coupon for 10% off!","¡Date de alta en nuestra newsletter y llévate un cupón de un 10% de descuento!"
"Similar bands:","Grupos similares"
"Similar products","Productos similares"
"Similar products","Productos similares"
"Size Chart","Tabla de tallas"
"Size guide","Guía de tallas"
"Size requested","Talla solicitada"
"Size","Talla"
"Size","Talla"
"Something went wrong ...","Algo salió mal..."
"Sorry","pero aún no has hecho ningún pedido."
"Sorry","pero este concurso ya ha terminado"
"Sort by","Ordenado por"
"State / Province","Estado / Provincia"
"Status","Estado "
"Store locator","Localizador de tienda"
"Street *","Calle *"
"Street","Calle *"
"Subscribe to the newsletter and receive a coupon for 10% off","Suscríbete a nuestra newsletter y te llevarás un cupón de descuento del 10%"
"Subscribe","Suscríbete"
"Subtotal","Subtotal"
"Swap navigation","Cambiar navegación"
"Switch store","Cambiar tienda"
"Tax ID *","Número de Identificación Tributaria *"
"Tax ID must have at least 3 letters.","Número de Identificación Tributaria tiene que tener al menos 3 caracteres."
"Tax identification number *","Número de Identificación Tributaria *"
"Tax identification number must have at least 3 letters.","Número de Identificación Tributaria tiene que tener al menos 3 caracteres."
"Tax","Impuesto"
"Telephone","Teléfono"
"Terms and Conditions","Términos y condiciones"
"Thank you for your purchase!","¡Gracias por tu compra!"
"Thank you","tu email ha sido enviado satisfactoriamente."
"Thank you. We successfully received your data and will inform you about further steps.","Gracias. Hemos recibido tus datos correctamente y procederemos a informarte sobre los próximos pasos."
"The model","El modelo"
"The new account will be created with the purchase. You will receive details on e-mail.","La nueva cuenta será creada con la compra. Recibirás un email con los detalles."
"The server order id has been set to","The server order id has been set to"
"There are no addresses yet.","No existen direcciones aún."
"There was an error while removing your coupon code. Please try again.","Hubo un error al borrar tu código de descuento. Por favor inténtalo de nuevo."
"There was an unexpected error. Please check your entered data and try again.","Surgió un error inesperado. Por favor revisa los datos que has introducido y prueba de nuevo."
"These are your recent orders. Click for more details and options.","Estos son tus pedidos más recientes. Haz click para más detalles y opciones."
"This is a merch product of the above-named band. We want to point out that the article description is a paraphrasing specification in consideration of the imprinted motif.","Este es un producto de merch del grupo mencionado arriba. Queremos aclarar que la descripción del artículo es una especificación parafraseada del motivo que ha sido impreso."
"This is not a valid postcode. Format: {code}","Esto no es un código postal válido. Formato: {code}"
"This isn't a valid field value.","Esto no es un valor de campo válido."
"This product is out of stock.","Este producto no dispone de existencias."
"Toggle password visibility","Cambiar la visibilidad de mi contraseña"
"Track my order","Seguir mi pedido"
"Type what you are looking for...","Escribe qué estás buscando..."
"Type your opinion","Escribe tu opinión"
"Type","Escribe"
"Unfortunately we can't find the page you are looking for.","Por desgracia no podemos encontrar la página que estabas buscando."
"United States","Estados Unidos"
"Unset {{label}} filter","Cambiar {{label}} filtro"
"Update my preferences","Actualizar mis preferencias"
"Update my profile","Actualizar mi perfil"
"Update my shipping details","Actualizar mis detalles de envío"
"Use a valid date.","Utiliza una fecha válida"
"Use as my default billing address","Utilizar como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilizar como mi dirección de envío por defecto"
"Use my billing data","Utilizar mi información de envío"
"Use my company's address details","Utilizar los detalles de la dirección de mi empresa"
"Use my company's address details","Utilizar los detalles de la dirección de mi empresa"
"VAT number","Número IVA"
"Value","Valor"
"View all {department}","Ver todo {department}"
"View all","Ver todo"
"View order","Ver pedido"
"We are going to reach out to you as soon as possible.","Nos pondremos en contacto contigo lo antes posible."
"We are sorry you failed multiple times. You can contact our support for help.","Lo sentimos pero has fallado demasiadas veces. Te recomendamos contactar nuestro servicio de atención al cliente para solicitar ayuda."
"We are using cookies to give you the best experience on our site.","Estamos utilizando cookies para ofrecerte la mejor experiencia en nuestra web."
"We can't find the page","No podemos encontrar la página"
"We found other products you might like","Hemos encontrado otros productos que te podrían gustar"
"We will send you details regarding the order","Te enviaremos los detalles del pedido"
"We will send you the invoice to given e-mail address","Te enviaremos la factura a la dirección de email facilitada"
"We've noticed Internal Server Error while rendering this request.","Hemos detectado un Error Interno del Servidor cuando estábamos intentando procesar esta solicitud."
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Si existe una cuenta asociada con tu, recibirás un email con un link para restablecer tu contraseña."
"What we can improve?","¿En qué podemos mejorar?"
"Which size fits me?","¿Qué talla me viene bien?"
"Wishlist","Lista de deseos"
"Women fashion","Moda de mujer"
"Write a product review of your last orders products.","Escribe una reseña de producto de tus últimos productos recibidos."
"Write a review and get a {voucher} voucher!","¡Valora un producto & gana un vale de {voucher}"
"You are logged in as","Estás logueado como"
"You are offline","algunas de las funciones están limitadas"
"You aren't subscribed to any product alerts.","No estás suscrito a ninguna alerta de producto."
"You can also use {link} to find anything you were looking for.","También puedes utilizar el {link} para encontrar lo que estás buscando."
"You can find us on","Encuéntranos en"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data","</b> check <b>historia de transferencias"
"You can manage your subscription in your {account-settings}.","Puedes gestionar tu suscripción en tu {account-settings}."
"You have been successfully subscribed to our newsletter!","¡Te has suscrito satisfactoriamente a nuestra newsletter!"
"You have been successfully unsubscribed from our newsletter!","¡Te has dado de baja satisfactoriamente a nuestra newsletter!"
"You have no items to compare.","No tienes productos para comparar."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Has conseguido realizar el pedido con éxito. Puedes revisar el estado de tu pedido utilizando nuestra opción <b>delivery status</b>. Recibirás un email de confirmación con detalles de tu pedido y un link para hacer el seguimiento del pedido."
"You may like these too","Esto te puede gustar"
"You must accept the terms and conditions.","Debes aceptar los términos y condiciones"
"You successfully subscribed yourself to this products stock notifications. You will receive updates about this product in future.","Te has suscrito con éxito a nuestras notificaciones de existencias de producto. Recibirás actualizaciones sobre este producto en el futuro."
"You successfully unsupscripted for this stock notification.","Te has dado de baja con éxito de nuestras notificaciones de stock de producto."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"You're logged out","Has salido"
"You're subscribed to the following products and will be notified as soon as they are back in stock.","Te has suscrito a los siguientes productos y serás notificado tan pronto como estos estén de vuelta en stock."
"You've entered an incorrect coupon code. Please try again.","Has introducido un código de descuento incorrecto. Por favor inténtalo de nuevo."
"You've entered an incorrect coupon code. Please try again.","You've entered an incorrect coupon code. Please try again."
"Your Account","Tu cuenta"
"Your Google reCAPTCHA validation is invalid.","La confirmación de tu Google reCAPTCHA no es válida."
"Your account","Tu cuenta"
"Your coupon has been removed.","Tu código ha sido borrado."
"Your coupon has been successfully applied.","Tu código ha sido aplicado correctamente."
"Your email address","Dirección de Email para el newsletter"
"Your feedback is important for us. Let us know what we could improve.","Tu feedback es importante para nosotros. Por favor háznos saber en qué podemos mejorar."
"Your order has been received.","Tu pedido ha sido recibido."
"Your order-number is:","Tu número de pedido es:"
"Your purchase","Tu compra"
"Your revocation is now in progress.","Tu anulación está en progreso"
"Your shopping cart is empty.","Tu carrito está vacío"
"Your wishlist is empty.","Tu lista de deseos está vacía."
"Zip-code *","Código postal*"
"Zip-code must have at least 3 letters.","El código postal tiene que tener al menos 3 números."
"Zip-code","Código postal "
"account settings","Ajustes de la cuenta"
"as low as","tan bajo como"
"browse our catalog","echa un vistazo a nuestro catálogo"
"color","color"
"excl.","excl."
"incl.","incl."
"items per page","Artículos por página"
"items","producto"
"login","Entrar"
"or write to us through","o escríbenos"
"or","o"
"orderStatus_canceled","Cancelado"
"orderStatus_complete","Enviado"
"orderStatus_pending","Pendiente"
"orderStatus_preorder","Preorder"
"orderStatus_processing","Procesando"
"our search","nuestra búsqueda"
"search","búsqueda"
"size","talla"
"to find something beautiful for You!","para encontrar algo bonito para Ti!"
"us a line here","un mensaje aquí"
"{count} items","{count} producto"
"{incl} {rate}% VAT","envío excluido"
"{name} is {height} tall and wears size {size}.","{name} mide{height} y lleva la talla {size}."
