"Remove from compare","إزالة من المقارنة"
"Kidswear","ملابس أطفال"
"Home","الرئيسة"
"Orders","الطلبيات"
"Track my order","تتبع طلبيّتي"
"Delivery","التوصيل"
"Return policy","سياسة الإرجاع"
"Customer service","خدمة الزبائن"
"Contact us","تواصل معنا"
"About us","من نحن"
"Store locator","فروعنا"
"Legal notice","إشعار قانوني"
"Privacy policy","سياسة الخصوصيّة"
"Subscribe to the newsletter and receive a coupon for 10% off","اشترك بالنشرة البريديّة واحصل على خصم 10٪"
"Subscribe","اشترك"
"Return to shopping","العودة للتسوّق"
"Login to your account","الدخول لحسابك"
"You are logged in as","أنت مسجل دخولك كـ"
"Edit","تعديل"
"Shopping cart","سلّة التّسوّق"
"Your shopping cart is empty.","سلّة تسوّقك فارغة."
"Don't hesitate and","لا تتردد و"
"browse our catalog","تصفح قائمة منتجاتنا"
"to find something beautiful for You!","لإيجاد شيء جميل لك!"
"Shopping summary","ملخص التسوّق"
"Go to checkout","الدفع وإنهاء التسوّق"
"Remove","حذف"
"My newsletter","نشرتي البريدية"
"Edit newsletter preferences","تعديل خيارات النشرة البريدية"
"General agreement","اتّفاق عام"
"Cancel","إلغاء"
"Update my preferences","تحديث "
"My profile","ملفي الشخصي"
"Edit your profile","تعديل ملفك"
"Update my profile","تحديث ملفي"
"My shipping details","تفاصيل الشحن"
"Edit your shipping details","تعديل تفاصيل الشحن"
"Update my shipping details","تحديث تفاصيل الشحن"
"Country","الدولة"
"Similar products","منتجات مشابهة"
"We found other products you might like","منتجات أخرى قد تعجبك"
"No results were found.","لم يتم العثور على نتائج"
"Magazine","المجلة"
"Sale","تخفيض"
"My orders","طلبياتي"
"My loyalty card","بطاقة الولاء"
"My product reviews","مراجعاتي"
"Wishlist","قائمة المفضّلة"
"Your wishlist is empty.","قائمة مفضّلتك فارغة."
"Add to cart","أضف إلى السلّة"
"Select color ","اختر لون "
"See details","عرض التفاصيل"
"We use cookies to give you the best shopping experience.","نحن نستخدم ملفت تعريف الارتباط لتزويدك بأفضل تجربة تسوّق."
"Newsletter","النشرة البريدية"
"Sign up to our newsletter and receive a coupon for 10% off!","اشترك بالنشرة البريديّة واحصل على خصم 10٪"
"Quantity","الكميّة"
"Price ","السعر "
"Select size ","اختيار قياس "
"You have no items to compare.","لا يوجد منتجات للمقارنة."
"New Luma Yoga Collection","تشكيلة يوغا لُما الجديدة"
"We can't find the page","لم نستطع إيجاد الصفحة"
"Unfortunately we can't find the page you are looking for.","عذراً لم نجد الصفحة التي تبحث عنها."
"If you need an assistance you can drop us a line on","راسلنا هنا في حال أردت مساعدة"
"a chat","المحادثة"
"or write to us through","أو اكتب لنا رسالة عبر"
"a contact page","صفحة اتصل بنا"
"You can also use","يمكنك أيضاً استخدام"
"search","البحث"
"to find product you were looking for.","لإيجاد المنتج الذي تبحث عنه."
"See our bestsellers","مشاهدة الأكثر مبيعاً"
"You are offline, some of the functionalities are limited","أنت غير متّصل بالإنترنت، بعض وظائف الموقع محدودة"
"Search","البحث"
"Help","المساعدة"
"Go to Facebook","اذهب إلى فيس بوك"
"Go to Instagram","اذهب إلى انستغرام"
"Go to Pinterest","اذهب إلى بنتريست"
"Go to Youtube","اذهب إلي يوتيوب"
"I accept ","أنا موافق على "
"Use my billing data","استخدم بياناتي الخاصّة بالدفع"
"I want to generate an invoice for the company","أريد إنشاء فاتورة للشركة"
"Field is required","حقل مطلوب"
"Name must have at least 3 letters.","يجب أن تحوي 3 حروف على الأقل"
"Zip-code must have at least 3 letters.","يجب أن يحتوي الرمز البريدي على ثلاث حروف"
"I want to create an account'","أريد إنشاء حساب"
"Copy address data from shipping","نسخ بيانات العنوان من عنوان الشحن"
"Tax identification number must have at least 3 letters.","يجب أن يحتوي الرقم الضريبي على 3 حروف على الأقل."
"Please provide valid e-mail address.","يرجى إدخال بريد إلكتروني صحيح"
"Use my company's address details","استخدم عنوان شركتي"
"Passwords must be identical","كلمات المرو يجب أن تكون متطابقة"
"E-mail address *","البريد الإلكتروني *"
"Password *","كلمة المرور *"
"First name","الاسم الأول"
"Last name","الكنية"
"Email address","البريد الإلكتروني"
"Change my password","تغيير كلمة المرور"
"I have a company and want to receive an invoice for every order","أنا لدي شركة وأريد أن استلم فاتورة عن كل طلبية"
"Company name *","اسم الشركة *"
"Street name *","اسم الشارع *"
"House/Apartment number *","رقم المنزل/الشقة *"
"City *","المدينة *"
"Zip-code *","الرمز البريدي *"
"Tax ID *","الرمز الضريبي *"
"State / Province","الولاية / المحافظة"
"City","المدينة"
"Phone Number","رقم الهاتف"
"House/Apartment number","رقم الشقّة/المنزل"
"Street name","اسم الشارع"
"Zip-code","الرمز البريدي"
"Current password *","كلمة المرور الحالية *"
"New password *","كلمة المرور الجديدة"
"Repeat new password *","إعادة كلمة المرور الجديدة *"
"Passwords must be identical.","كلمات المرو يجب أن تكون متطابقة."
"First name *","الاسم الأوّل"
"Last name *","الكنية ّ*"
"Repeat password *","إعادة كلمة المرور *"
"Email address *","البريد * الإلكتروني"
"I want to create an account","أريد إنشاء حساب جديد"
"Tax identification number *","الرقم الضريبي *"
"No products found!","لم يتم إيجاد أي منتج!"
"Please change Your search criteria and try again. If still not finding anything relevant", "يرجى المحاولة مرّة ثانية بعد تغيير معايير البحث إن لم تجد أي شيء ذو صلة"
"Erin recommends","توصيات Erin"
"Open my account","فتح حسابي"
"Open microcart","فتح سلة التسوّق"
"Open wishlist","فتح المفضّلة"
"Open search panel","فتح لوحة البحث"
"Open menu","فتح القائمة"
"Show subcategories","عرض التصنيفات الفرعيّة"
"Back","عودة"
"Close","إغلاق"
"View all","عرض الكل"
"Create a new account","إنشاء حساب جديد"
"I accept terms and conditions","أنا موافق على الشروط والأحكام"
"I want to receive a newsletter, and agree to its terms","أنا أريد استلام النشرة البريدية وموافق على شروطها"
"Use my company's address details","استخدم عنوان شركتي""Tax ID must have at least 3 letters.","يجب أن يحتوي الرمز الضريبي على 3 حروف."
"Tax ID must have at least 3 letters.","يجب أن يكون الرمز الضريبي 3 حروف على الأقل."
"Country *","البلد *"
"Toggle password visibility","تبديل رؤية كلمة المرور"
"You've entered an incorrect coupon code. Please try again.","لقد أدخل "
"Add a discount code","أدخل رمز الخصم"
"Discount code","رمز الخصم"
"Add discount code","إرسال"
"Order ID","رمز الطلبية"
"Date and time","التاريخ ولاوقت"
"Author","المؤلف"
"Value","القيمة"
"Type","النوع"
"Status","الحالة"
"Purchase","شراء"
"View order","عرض الطلبية"
"Remake order","إعادة الطلب"
"No orders yet","لا يوجد طلبيات حتى الآن"
"Order #","رقم الطلب #"
"Items ordered","المنتجات التي تمّ طلبها"
"Product Name","اسم المنتج"
"SKU","رمز المنتج"
"Subtotal","المجموع الفرعي"
"Tax","الضريبة"
"Discount","الخصم"
"Order informations","معلومات الطلبية"
"Shipping address","عنوان الشّحن"
"Billing address","عنوان الدّفع"
"Order confirmation","تأكيد الطلبية"
"Your purchase","مشترياتك"
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","تم إتمام طلبيتك بنجاح. يمكنك مراجعة حالة الطلبية باستخدام <b>حالة الطلبية</b>.سوف نرسل رسالة تأكيد الطلبية إلى بريدك الإلكتروني مع تفاصيل الطلبية ورابط يمكنك من مراجعة حالة الطلبية."
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","راسلنا على <b>demo@vuestorefront.io</b> بأي سؤال أو إقتراح كيف يمكننا تحسين المنتجات أو تجربة التّسوّق"
"Your Account","حسابك"
"What we can improve?","ما الذي يمكننا تحسينه ؟"
"Your feedback is important for us. Let us know what we could improve.","رأيك يهمّنا،دعنا نعلم كيف نستطيع أن نصبح أفضل."
"Type your opinion","اكتب رأيك"
"Give a feedback","أخبرنا برأيك"
"Choose your country","اختر بلدك"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","يمكنك الدخول لحسابك باستخدام البريد الإلكتروني وكلمة المرور اللّذان عرفتهما سابقاً. يمكنك في حسابك<b>تعديل بياناتك،<b> ومراجعة <b>سجلات مشترياتك،</b> وتعديل اشتراكك <b>في النشرة البريديّة</b>"
"United States","الولايات المتّحدة"
"English","إنكليزي"
"Germany","ألمانيا"
"German","ألماني"
"Italy","إيطاليا"
"Italian","إيطالي"
"Sort By","ترتيب حسب"
"Custom Cms Page","صفح محتوى خاصّة"
"Cms Page Sync","مزامنة صفحة المحتوى"
"Password must have at least 8 letters.","كلمة المرور يجب أن تكون 8 محارف على الأقل."
"Confirm your order","تأكيد طلبيتك"
"Please confirm order you placed when you was offline","الرجاء التأكيد على إتمام الطلبية التي أنشأتها عندما كنت غير متّصل بالإنترنت"
"Allow notification about the order","السماح بالتنبيهات عن الطبية"
"Extension developers would like to thank you for placing an order!","يود مبرمجي الملحقات شكرك على اتمام الطلبية!"
"Compare products","مقارنة المنتجات"
"Load more","تحميل المزيد"
"Select No","اختر لا"
"Select Yes","اختر نعم"
"erin_recommends_filter","توصيات Erin"
"Latest","الأحدث"
"size","القياس"
"color","اللون"
"login","دخول"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","لم يتم إضافة مراجعات بعد. الرجاء عدم التردد بمشاركتنا برأيك وكتابة مراجعة!"
"Internal Server Error 500","خطأ داخلي في المخدّم 500"
"We've noticed Internal Server Error while rendering this request.","لاحظنا حصول خطأ داخلي في المخدّم أثناء تقديم هذا الطلب."
"Something went wrong ...","حدث خطأ ما ..."
"This product is out of stock.","هذا المنتج غير متوفّر."
"Cash on delivery","الدفع عند الاستلام"
"DPD Courier","DPD Courier"
