"About us","O nas"
"Return policy","Zasady dotyczące zwrotów"
"Return to shopping","Kontynuuj zakupy"
"Returns","Zwroty"
"Review order","Przegląd zamówienia"
"SKU","SKU"
"SKU: {sku}","SKU: {sku}"
"Safety","Bezpieczeństwo"
"Sale","Wyprzedaż"
"Search","Szukaj"
"Searched term should consist of at least 3 characters.","Szukana fraza powinna składać się z co najmniej 3 znaków."
"See details","Szczegóły"
"See our bestsellers","Zobacz bestsellery"
"Select color ","Wybierz kolor "
"Select size {variant}","Wybierz rozmiar {variant}"
"Ship to my default address","Wyślij na mój domyślny adres"
"Shipping address","Adres wysyłki"
"Shipping method","Metoda wysyłki"
"Shipping","Wysyłka"
"Shopping cart","Koszyk"
"Shopping summary","Podsumowanie zamówienia"
"Show subcategories","Pokaż podkategorie"
"Sign up to our newsletter and receive a coupon for 10% off!","Zapisz się do naszego newslettera!"
"Similar products","Podobne produkty"
"Size guide","Tabela rozmiarów"
"State / Province","Województwo"
"Status","Status"
"Store locator","Znajdź sklep"
"Street name *","Ulica *"
"Street name","Ulica"
"Subscribe to the newsletter and receive a coupon for 10% off","Zapisz się do naszego newslettera i otrzymaj 10% rabatu!"
"Subscribe","Zapisz"
"Subtotal","Suma częściowa"
"Tax ID *","NIP *"
"Tax ID must have at least 3 letters.","Identyfikator podatkowy musi składać się z co najmniej 3 liter."
"Tax identification number *","NIP *"
"Tax identification number must have at least 3 letters.","Numer identyfikacji podatkowej musi zawierać co najmniej 3 litery."
"Tax","Podatek"
"Terms and conditions","Regulamin"
"The new account will be created with the purchase. You will receive details on e-mail.","Nowe konto zostanie utworzone wraz z zamówieniem. Szczegóły zostaną wysłane na adres email."
"Toggle password visibility","Przełącz widoczność hasła"
"Track my order","Śledź moje zamówienie"
"Type your opinion","Twoja opinia"
"Type","Typ"
"Unfortunately we can't find the page you are looking for.","Niestety nie możemy znaleźć strony."
"United States","Stany Zjednoczone"
"Update my preferences","Zachowaj moje ustawienia"
"Update my profile","Zachowaj zmiany"
"Update my shipping details","Zapisz zmiany"
"Use my billing data","Użyj moich danych rozliczeniowych"
"Use my company's address details","Użyj danych adresowych mojej firmy"
"Use my company's address details","Użyj danych adresowych mojej firmy"
"Value","Wartość"
"View all","Pokaż wszystkie"
"View order","Wyświetl zamówienie"
"We can't find the page","Nie ma takiej strony"
"We found other products you might like","Może Zainteresuje Cię również"
"We use cookies to give you the best shopping experience.","Używamy plików cookies."
"We will send you details regarding the order","Wyślemy Ci szczegóły Twojego zamówienia"
"We will send you the invoice to given e-mail address","Wyślemy Ci fakturę na podany adres e-mail"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Instrukcja dotycząca resetowania hasła została wysłana na Twój adres email. Sprawdź skrzynkę odbiorczą."
"What we can improve?","Co możemy udoskonalić?"
"Wishlist","Lista życzeń"
"Women fashion","Moda damska"
"You are logged in as {firstname}","Jesteś zalogowany jako {firstname}"
"You are offline. Some features might not be available.","Jesteś offline, niektóre funkcje są ograniczone"
"You can also use","Możesz również użyć"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","Możesz zalogować się na swoje konto, używając wcześniej zdefiniowanego adresu e-mail i hasła. Na swoim koncie możesz <b> edytować swoje dane profilu, </b> sprawdzić <b> historię transakcji, </b> edytować <b> subskrypcję. </b>"
"You have been successfully subscribed to our newsletter!","Zostałeś dodany do listy naszych subskrybentów!"
"You have no items to compare.","Nie wybrałeś produktów do porównania."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Z powodzeniem złożyłeś zamówienie. Możesz sprawdzić status swojego zamówienia, korzystając z opcji <b>status przesyłki</b>.Otrzymasz e-mail z potwierdzeniem zamówienia ze szczegółami zamówienia oraz linkiem do śledzenia jego postępu."
"You must accept the terms and conditions.","Musisz zaakceptować regulamin."
"You've entered an incorrect coupon code. Please try again.","Podałeś nieprawidłowy kod kuponu. Proszę spróbuj ponownie."
"Your Account","Twoje konto"
"Your feedback is important for us. Let us know what we could improve.","Twoja opinia jest dla nas ważna. Daj nam znać, co możemy poprawić."
"Your purchase","Twój zakup"
"Your shopping cart is empty.","Twój koszyk jest pusty."
"Your wishlist is empty.","Twoje lista życzeń jest pusta."
"Zip-code *","Kod pocztowy *"
"Zip-code must have at least 3 letters.","Kod pocztowy musi zawierać co najmniej 3 litery."
"Zip-code","Kod pocztowy"
"a chat","a chat"
"a contact page","strona kontaktu"
"browse our catalog","przejrzyj nasze produkty"
"color_filter","Kolor"
"login to your account","zaloguj się na swoje konto"
"or write to us through","lub napisz do nas przez"
"or","lub"
"price_filter","Cena"
"register an account","utwórz konto"
"return to log in","powrót do logowania"
"search","szukaj"
"size_filter","Rozmiar"
"to find product you were looking for.","aby znaleźć produkt, który szukasz."
"to find something beautiful for You!","znajdź coś dla siebie!"
