"About us","À propos"
"Subscribe to the newsletter and receive a coupon for 10% off","Abonnez-vous à la newsletter et recevez un coupon de réduction de 10%"
"Subscribe","Abonnez-vous"
"Subtotal","Sous-total"
"Tax ID *","Numéro d'immatriculation fiscale *"
"Tax ID must have at least 3 letters.","Le numéro d'immatriculation fiscale doit comporter au moins 3 lettres."
"Tax identification number *","Numéro d'identification fiscale *"
"Tax identification number must have at least 3 letters.","Le numéro d'identification fiscale doit comporter au moins 3 lettres."
"Tax","Taxes"
"Terms and conditions","Termes et conditions"
"The new account will be created with the purchase. You will receive details on e-mail.","Le nouveau compte sera créé à l'achat. Vous recevrez les détails sur votre adresse e-mail."
"Toggle password visibility","Afficher le mot de passe"
"Track my order","Suivre ma commande"
"Type your opinion","Exprimez votre opinion"
"Type","Type"
"Unfortunately we can't find the page you are looking for.","Malheureusement, nous ne pouvons pas trouver la page que vous recherchez."
"United States","États-Unis"
"Update my preferences","Mettre à jour mes préférences"
"Update my profile","Mettre à jour mon profil"
"Update my shipping details","Mettre à jour mes détails d'expédition"
"Use my billing data","Utiliser mes données de paiement"
"Use my company's address details","Utiliser les coordonnées de mon entreprise"
"Use my company's address details","Utiliser les coordonnées de mon entreprise"
"Value","Valeur"
"View all","Voir tout"
"View order","Voir la commande"
"We can't find the page","Nous ne parvenons pas à trouver la page"
"We found other products you might like","Nous avons trouvé d'autres produits que vous pourriez aimer"
"We use cookies to give you the best shopping experience.","Nous utilisons des cookies pour vous offrir la meilleure expérience de vente."
"We will send you details regarding the order","Nous vous enverrons les détails concernant la commande"
"We will send you the invoice to given e-mail address","Nous vous enverrons la facture à l'adresse e-mail indiquée"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Nous avons envoyé les instructions de réinitialisation du mot de passe à votre adresse e-mail. Vérifiez votre boîte de réception et suivez le lien."
"What we can improve?","Que pouvons-nous améliorer ?"
"Wishlist","Liste de souhaits"
"Women fashion","Mode femme"
"You are logged in as {firstname}","Vous êtes connecté en tant que {firstname}"
"You are offline. Some features might not be available.","Vous êtes hors ligne, certaines fonctionnalités sont limitées"
"You can also use","Vous pouvez aussi utiliser"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>"
"You have been successfully subscribed to our newsletter!","Vous avez été inscrit avec succès à notre newsletter !"
"You have no items to compare.","Vous n'avez pas de produits à comparer."
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","Votre commande a été enregistrée avec succès. Vous pouvez suivre l'état de votre commande en utilisant notre fonctionnalité <b>état de la commande</b>. Vous allez recevoir un e-mail de confirmation avec les détails de votre commande et un lien pour suivre son avancée."
"You must accept the terms and conditions.","Vous devez accepter les conditions générales."
"You've entered an incorrect coupon code. Please try again.","Vous avez saisi un code coupon incorrect. Veuillez réessayer."
"Your Account","Votre Compte"
"Your feedback is important for us. Let us know what we could improve.","Vos retours nous intéressent. Faites-nous savoir ce que nous pouvons améliorer."
"Your purchase","Votre achat"
"Your shopping cart is empty.","Votre panier est vide."
"Your wishlist is empty.","Votre liste de souhaits est vide."
"Zip-code *","Code postal *"
"Zip-code must have at least 3 letters.","Le code postal doit contenir au moins 3 chiffres."
"Zip-code","Code postal"
"a chat","sur le chat"
"a contact page","la page de contact"
"browse our catalog","parcourez notre catologue"
"color_filter","Couleur"
"login to your account","connectez-vous"
"or write to us through","ou écrivez-nous via"
"or","ou"
"price_filter","Prix"
"register an account","créer un compte"
"return to log in","Retour au login"
"search","la recherche"
"size_filter","Taille"
"to find product you were looking for.","pour trouver le produit que vous cherchiez."
"to find something beautiful for You!","pour trouver de belles choses pour vous !"
