"Remove from compare","比較から削除する"
"Zip-code must have at least 3 letters.","郵便番号は最低3文字必要です"
"I want to create an account'","アカウントを作成する'"
"Copy address data from shipping","発送先の住所をコピーする"
"Tax identification number must have at least 3 letters.","税金IDは最低3文字必要です"
"Please provide valid e-mail address.","正しいメールアドレスを入力してください"
"Use my company's address details","自分の会社の住所を使う"
"Passwords must be identical","パスワードは同じである必要があります"
"E-mail address *","メールアドレス *"
"Password *","パスワード *"
"First name","名"
"Last name","姓"
"Email address","メールアドレス"
"Change my password","パスワードの変更"
"I have a company and want to receive an invoice for every order","法人からなので、全ての注文に請求書を発行してください"
"Company name *","会社名 *"
"Street name *","住所 *"
"House/Apartment number *","部屋番号、建物名 *"
"City *","市町村 *"
"Zip-code *","郵便番号 *"
"Tax ID *","税金ID *"
"State / Province","都道府県"
"City","市町村"
"Phone Number","電話番号"
"House/Apartment number","部屋番号、建物名"
"Street name","住所"
"Zip-code","郵便番号"
"Current password *","現在のパスワード *"
"New password *","新しいパスワード *"
"Repeat new password *","もう一度新しいパスワード *"
"Passwords must be identical.","パスワードは同じである必要があります"
"First name *","名 *"
"Last name *","姓 *"
"Repeat password *","パスワードもう一度 *"
"Email address *","メールアドレス *"
"I want to create an account","アカウントを作成"
"Tax identification number *","税金ID番号 *"
"No products found!","商品がありません!"
"Erin recommends","エリンのおすすめ"
"Open my account","自分のアカウントを開く"
"Open microcart","小さなカートを開く"
"Open wishlist","欲しいモノリストを開く"
"Open search panel","検索パネルを開く"
"Open menu","メニューを開く"
"Show subcategories","サブカテゴリーを開く"
"Back","戻る"
"Close","閉じる"
"View all","全てを見る"
"Create a new account","アカウントを作る"
"I accept terms and conditions","利用規約に同意する"
"I want to receive a newsletter, and agree to its terms","規約に同意して、ニュースレターを受け取ります"
"Use my company's address details","自分の会社の住所の詳細を使う"
"Tax ID must have at least 3 letters.","税金IDは3文字以上である必要があります"
"Country *","国 *"
"Toggle password visibility","パスワードの見え方の切り替え"
"You've entered an incorrect coupon code. Please try again.","クーポンコードが無効です。もう一度試してください。"
"Add a discount code","ディスカウントコードを追加する"
"Discount code","ディスカウントコード"
"Add discount code","申し込み"
"Order ID","注文ID"
"Date and time","日時"
"Author","書いた人"
"Value","値"
"Type","タイプ"
"Status","ステータス"
"Purchase","購入"
"View order","注文をみる"
"Remake order","注文を再度行う"
"No orders yet","また注文されていません"
"Order #","注文番号"
"Items ordered","注文されました"
"Product Name","商品名"
"SKU","SKU"
"Subtotal","小計"
"Tax","税金"
"Discount","ディスカウント"
"Order informations","注文の情報"
"Shipping address","発送住所"
"Shipping method","発送方法"
"Billing address","請求先住所"
