"Update my profile","Update my profile"
"My shipping details","My shipping details"
"Edit your shipping details","Edit your shipping details"
"Update my shipping details","Update my shipping details"
"Country","Country"
"Similar products","Similar products"
"We found other products you might like","We found other products you might like"
"No results were found.","No results were found."
"Searched term should consist of at least 3 characters.","Searched term should consist of at least 3 characters."
"Magazine","Magazine"
"Sale","Sale"
"My orders","My orders"
"My loyalty card","My loyalty card"
"My product reviews","My product reviews"
"Wishlist","Wishlist"
"Clear wishlist","Clear wishlist"
"Your wishlist is empty.","Your wishlist is empty."
"Add to cart","Add to cart"
"Select color ","Select color "
"See details","See details"
"We use cookies to give you the best shopping experience.","We use cookies to give you the best shopping experience."
"Newsletter","Newsletter"
"Sign up to our newsletter and receive a coupon for 10% off!","Sign up to our newsletter and receive a coupon for 10% off!"
"Quantity","Quantity"
"Price ","Price "
"Select size ","Select size "
"You have no items to compare.","You have no items to compare."
"New Luma Yoga Collection","New Luma Yoga Collection"
"We can't find the page","We can't find the page"
"Unfortunately we can't find the page you are looking for.","Unfortunately we can't find the page you are looking for."
"If you need an assistance you can drop us a line on","If you need an assistance you can drop us a line on"
"a chat","a chat"
"or write to us through","or write to us through"
"a contact page","a contact page"
"You can also use","You can also use"
"search","search"
"to find product you were looking for.","to find product you were looking for."
"See our bestsellers","See our bestsellers"
"You are offline, some of the functionalities are limited","You are offline, some of the functionalities are limited"
"Search","Search"
"Help","Help"
"Go to Facebook","Go to Facebook"
"Go to Instagram","Go to Instagram"
"Go to Pinterest","Go to Pinterest"
"Go to Youtube","Go to Youtube"
"I accept ","I accept "
"Use my billing data","Use my billing data"
"I want to generate an invoice for the company","I want to generate an invoice for the company"
"Field is required","Field is required"
"Name must have at least 2 letters.","Name must have at least 2 letters."
"Name must have at least 3 letters.","Name must have at least 3 letters."
"Zip-code must have at least 3 letters.","Zip-code must have at least 3 letters."
"I want to create an account'","I want to create an account'"
"Copy address data from shipping","Copy address data from shipping"
"Tax identification number must have at least 3 letters.","Tax identification number must have at least 3 letters."
"Please provide valid e-mail address.","Please provide valid e-mail address."
"Use my company's address details","Use my company's address details"
"Passwords must be identical","Passwords must be identical"
"E-mail address *","E-mail address *"
"Password *","Password *"
"First name","First name"
"items","items"
"Last name","Last name"
"Email address","Email address"
"Change my password","Change my password"
"I have a company and want to receive an invoice for every order","I have a company and want to receive an invoice for every order"
"Company name *","Company name *"
"Street name *","Street name *"
"House/Apartment number *","House/Apartment number *"
"City *","City *"
"Zip-code *","Zip-code *"
"Tax ID *","Tax ID *"
"State / Province","State / Province"
"City","City"
"Phone Number","Phone Number"
"House/Apartment number","House/Apartment number"
"Street name","Street name"
"Zip-code","Zip-code"
"Current password *","Current password *"
"New password *","New password *"
"Repeat new password *","Repeat new password *"
"Passwords must be identical.","Passwords must be identical."
"First name *","First name *"
"Last name *","Last name *"
"Repeat password *","Repeat password *"
"Email address *","Email address *"
"I want to create an account","I want to create an account"
"Tax identification number *","Tax identification number *"
"No products found!","No products found!"
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!"
"Erin recommends","Erin recommends"
"Open my account","Open my account"
"Open microcart","Open microcart"
"Open wishlist","Open wishlist"
"Open search panel","Open search panel"
"Open menu","Open menu"
"Show subcategories","Show subcategories"
"Back","Back"
"Close","Close"
"View all","View all"
"Create a new account","Create a new account"
"I accept terms and conditions","I accept terms and conditions"
"I want to receive a newsletter, and agree to its terms","I want to receive a newsletter, and agree to its terms"
"Use my company's address details","Use my company's address details"
"Tax ID must have at least 3 letters.","Tax ID must have at least 3 letters."
"Country *","Country *"
"Toggle password visibility","Toggle password visibility"
"You've entered an incorrect coupon code. Please try again.","You've entered an incorrect coupon code. Please try again."
"Add a discount code","Add a discount code"
"Discount code","Discount code"
"Add discount code","Apply"
"Order ID","Order ID"
"Date and time","Date and time"
"Author","Author"
"Value","Value"
"Type","Type"
"Status","Status"
"Purchase","Purchase"
"View order","View order"
"Remake order","Remake order"
"No orders yet","No orders yet"
"Order #","Order #"
"Items ordered","Items ordered"
"Product Name","Product Name"
"SKU","SKU"
"Subtotal","Subtotal"
"Tax","Tax"
"Discount","Discount"
"Order informations","Order informations"
"Shipping address","Shipping address"
"Billing address","Billing address"
"Order confirmation","Order confirmation"
"Your purchase","Your purchase"
"You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","You have successfuly placed the order. You can check status of your order by using our <b>delivery status</b> feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress."
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience"
"Your Account","Your Account"
"What we can improve?","What we can improve?"
"Your feedback is important for us. Let us know what we could improve.","Your feedback is important for us. Let us know what we could improve."
"Type your opinion","Type your opinion"
"Give a feedback","Give a feedback"
"Choose your country","Choose your country"
"You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>","You can log to your account using e-mail and password defined earlier. On your account you can <b>edit your profile data,</b> check <b>history of transactions,</b> edit <b>subscription to newsletter.</b>"
"United States","United States"
"English","English"
"Germany","Germany"
"German","German"
"Italy","Italy"
"Italian","Italian"
"Sort By","Sort By"
"Custom Cms Page","Custom Cms Page"
"Cms Page Sync","Cms Page Sync"
"Password must have at least 8 letters.","Password must have at least 8 letters."
"Confirm your order","Confirm your order"
"Please confirm order you placed when you was offline","Please confirm order you placed when you was offline"
"Allow notification about the order","Allow notification about the order"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Compare products","Compare products"
"Load more","Load more"
"Select No","Select No"
"Select Yes","Select Yes"
"erin_recommends_filter","Erin Recommends"
"Latest","Latest"
"size","size"
"color","color"
"login","login"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!"
"If you need an assistance you can drop us a line on","If you need an assistance you can drop us a line on"
"Internal Server Error 500","Internal Server Error 500"
"We've noticed Internal Server Error while rendering this request.","We've noticed Internal Server Error while rendering this request."
"Something went wrong ...","Something went wrong ..."
"This product is out of stock.","This product is out of stock."
"Cash on delivery","Cash on delivery"
"DPD Courier","DPD Courier"
"My Recently viewed products","My Recently viewed products"
"No products yet","No products yet"
"The server order id has been set to ","The server order id has been set to "
"Customer service (Magento CMS)","Customer service (Magento CMS)",""Customer service (Magento CMS)","Customer service (Magento CMS)"
"Instant Checkout","Instant Checkout"
"Are you sure you would like to remove all the items from the wishlist?","Are you sure you would like to remove all the items from the wishlist?"
"Filter by categories","Filter by categories"
